	marine	marine2	aquatic
Dugong_dugon	1	1	1
Trichechus_manatus_latirostris	0	0	1
Trichechus_manatus	0	0	1
Hydrodamalis_gigas	1	1	1
Myocastor_coypus	0	0	1
Hydrochoerus_hydrochaeris	0	0	1
Castor_canadensis	0	0	1
Ursus_maritimus	1	1	1
Odobenus_rosmarus	1	1	1
Odobenus_rosmarus_divergens	1	1	1
Callorhinus_ursinus	1	1	1
Zalophus_californianus	1	1	1
Eumetopias_jubatus	1	1	1
Erignathus_barbatus	1	1	1
Halichoerus_grypus	1	1	1
Phoca_largha	1	1	1
Phoca_vitulina	1	1	1
Neomonachus_schauinslandi	1	1	1
Leptonychotes_weddellii	1	1	1
Mirounga_angustirostris	1	1	1
Mirounga_leonina	1	1	1
Pteronura_brasiliensis	0	0	1
Lontra_canadensis	0	0	1
Enhydra_lutris_nereis	1	1	1
Enhydra_lutris_kenyoni	1	1	1
Aonyx_cinereus	0	0	1
Lutra_lutra	0	0	1
Hippopotamus_amphibius	0	0	1
Balaena_mysticetus	1	1	1
Eubalaena_glacialis	1	1	1
Eubalaena_japonica	1	1	1
Eubalaena_australis	1	1	1
Balaenoptera_bonaerensis	1	1	1
Balaenoptera_acutorostrata_scammoni	1	1	1
Eschrichtius_robustus	1	1	1
Megaptera_novaeangliae	1	1	1
Balaenoptera_edeni	1	1	1
Balaenoptera_musculus	1	1	1
Kogia_breviceps	1	1	1
Physeter_catodon	1	1	1
Platanista_minor	0	0.5	1
Mesoplodon_europaeus	1	1	1
Mesoplodon_bidens	1	1	1
Mesoplodon_densirostris	1	1	1
Mesoplodon_stejnegeri	1	1	1
Inia_geoffrensis	0	0.5	1
Lipotes_vexillifer	0	0.5	1
Monodon_monoceros	1	1	1
Delphinapterus_leucas	1	1	1
Neophocaena_asiaeorientalis_asiaeorientalis	1	1	1
Phocoena_sinus	1	1	1
Phocoena_phocoena	1	1	1
Orcinus_orca	1	1	1
Cephalorhynchus_commersonii	1	1	1
Lagenorhynchus_obliquidens	1	1	1
Sousa_chinensis	1	1	1
Tursiops_truncatus	1	1	1
Tursiops_aduncus	1	1	1
Steno_bredanensis	1	1	1
Grampus_griseus	1	1	1
Globicephala_melas	1	1	1
Peponocephala_electra	1	1	1
Syncerus_caffer	0	0	1
Bubalus_bubalis	0	0	1
Dasypus_novemcinctus	0	0	0
Myrmecophaga_tridactyla	0	0	0
Choloepus_hoffmanni	0	0	0
Choloepus_didactylus	0	0	0
Orycteropus_afer_afer	0	0	0
Elephantulus_edwardii	0	0	0
Echinops_telfairi	0	0	0
Chrysochloris_asiatica	0	0	0
Loxodonta_africana	0	0	0
Elephas_maximus	0	0	0
Procavia_capensis	0	0	0
Heterohyrax_brucei	0	0	0
Galeopterus_variegatus	0	0	0
Nycticebus_coucang	0	0	0
Otolemur_garnettii	0	0	0
Daubentonia_madagascariensis	0	0	0
Indri_indri	0	0	0
Propithecus_coquereli	0	0	0
Microcebus_murinus	0	0	0
Mirza_coquereli	0	0	0
Mirza_zaza	0	0	0
Lemur_catta	0	0	0
Prolemur_simus	0	0	0
Eulemur_macaco	0	0	0
Eulemur_flavifrons	0	0	0
Eulemur_mongoz	0	0	0
Eulemur_fulvus	0	0	0
Carlito_syrichta	0	0	0
Plecturocebus_donacophilus	0	0	0
Pithecia_pithecia	0	0	0
Alouatta_palliata	0	0	0
Ateles_geoffroyi	0	0	0
Aotus_nancymaae	0	0	0
Saguinus_imperator	0	0	0
Callithrix_pygmaea	0	0	0
Callithrix_jacchus	0	0	0
Saimiri_boliviensis	0	0	0
Saimiri_boliviensis_boliviensis	0	0	0
Sapajus_apella	0	0	0
Cebus_albifrons	0	0	0
Cebus_capucinus_imitator	0	0	0
Nomascus_leucogenys	0	0	0
Hylobates_moloch	0	0	0
Pongo_abelii	0	0	0
Gorilla_gorilla_gorilla	0	0	0
Homo_sapiens	0	0	0
Pan_paniscus	0	0	0
Pan_troglodytes	0	0	0
Colobus_angolensis_palliatus	0	0	0
Piliocolobus_tephrosceles	0	0	0
Semnopithecus_entellus	0	0	0
Trachypithecus_francoisi	0	0	0
Rhinopithecus_bieti	0	0	0
Pygathrix_nemaeus	0	0	0
Cercopithecus_neglectus	0	0	0
Cercopithecus_mona	0	0	0
Allenopithecus_nigroviridis	0	0	0
Erythrocebus_patas	0	0	0
Chlorocebus_sabaeus	0	0	0
Macaca_nemestrina	0	0	0
Macaca_fascicularis	0	0	0
Macaca_mulatta	0	0	0
Macaca_fuscata	0	0	0
Papio_anubis	0	0	0
Theropithecus_gelada	0	0	0
Cercocebus_atys	0	0	0
Mandrillus_leucophaeus	0	0	0
Mandrillus_sphinx	0	0	0
Tupaia_chinensis	0	0	0
Ochotona_princeps	0	0	0
Lepus_timidus	0	0	0
Sylvilagus_bachmani	0	0	0
Oryctolagus_cuniculus	0	0	0
Oryctolagus_cuniculus_cuniculus	0	0	0
Muscardinus_avellanarius	0	0	0
Glis_glis	0	0	0
Aplodontia_rufa	0	0	0
Sciurus_vulgaris	0	0	0
Sciurus_carolinensis	0	0	0
Xerus_inauris	0	0	0
Urocitellus_parryii	0	0	0
Ictidomys_tridecemlineatus	0	0	0
Cynomys_gunnisoni	0	0	0
Marmota_vancouverensis	0	0	0
Marmota_flaviventris	0	0	0
Marmota_monax	0	0	0
Marmota_marmota_marmota	0	0	0
Marmota_himalayana	0	0	0
Ctenodactylus_gundi	0	0	0
Hystrix_cristata	0	0	0
Heterocephalus_glaber	0	0	0
Petromus_typicus	0	0	0
Thryonomys_swinderianus	0	0	0
Chinchilla_lanigera	0	0	0
Dinomys_branickii	0	0	0
Octodon_degus	0	0	0
Ctenomys_sociabilis	0	0	0
Coendou_prehensilis	0	0	0
Erethizon_dorsatum	0	0	0
Dasyprocta_punctata	0	0	0
Dolichotis_patagonum	0	0	0
Cavia_tschudii	0	0	0
Cavia_porcellus	0	0	0
Dipodomys_ordii	0	0	0
Pedetes_capensis	0	0	0
Jaculus_jaculus	0	0	0
Allactaga_bullata	0	0	0
Nannospalax_galili	0	0	0
Rhizomys_pruinosus	0	0	0
Cricetomys_gambianus	0	0	0
Acomys_cahirinus	0	0	0
Acomys_russatus	0	0	0
Pachyuromys_duprasi	0	0	0
Psammomys_obesus	0	0	0
Meriones_unguiculatus	0	0	0
Rhombomys_opimus	0	0	0
Rattus_rattus	0	0	0
Rattus_norvegicus	0	0	0
Uromys_caudimaculatus	0	0	0
Grammomys_surdaster	0	0	0
Arvicanthis_niloticus	0	0	0
Mastomys_coucha	0	0	0
Mus_pahari	0	0	0
Mus_caroli	0	0	0
Mus_musculus	0	0	0
Mus_spicilegus	0	0	0
Mus_spretus	0	0	0
Sigmodon_hispidus	0	0	0
Onychomys_torridus	0	0	0
Peromyscus_nasutus	0	0	0
Peromyscus_leucopus	0	0	0
Peromyscus_maniculatus_bairdii	0	0	0
Peromyscus_polionotus_subgriseus	0	0	0
Peromyscus_crinitus	0	0	0
Peromyscus_eremicus	0	0	0
Peromyscus_californicus_insignis	0	0	0
Mesocricetus_auratus	0	0	0
Cricetulus_griseus	0	0	0
Ondatra_zibethicus	0	0	0
Myodes_glareolus	0	0	0
Arvicola_amphibius	0	0	0
Microtus_oeconomus	0	0	0
Microtus_fortis	0	0	0
Microtus_ochrogaster	0	0	0
Microtus_arvalis	0	0	0
Microtus_agrestis	0	0	0
Solenodon_paradoxus	0	0	0
Scalopus_aquaticus	0	0	0
Talpa_occidentalis	0	0	0
Craseonycteris_thonglongyai	0	0	0
Megaderma_lyra	0	0	0
Hipposideros_armiger	0	0	0
Hipposideros_galeritus	0	0	0
Rhinolophus_sinicus	0	0	0
Rhinolophus_ferrumequinum	0	0	0
Macroglossus_sobrinus	0	0	0
Eidolon_dupreanum	0	0	0
Rousettus_leschenaultii	0	0	0
Rousettus_madagascariensis	0	0	0
Rousettus_aegyptiacus	0	0	0
Pteropus_alecto	0	0	0
Pteropus_rufus	0	0	0
Pteropus_giganteus	0	0	0
Pteropus_vampyrus	0	0	0
Pteropus_pselaphon	0	0	0
Noctilio_leporinus	0	0	0
Mormoops_blainvillei	0	0	0
Macrotus_californicus	0	0	0
Anoura_caudifer	0	0	0
Leptonycteris_yerbabuenae	0	0	0
Tonatia_saurophila	0	0	0
Phyllostomus_discolor	0	0	0
Sturnira_hondurensis	0	0	0
Artibeus_jamaicensis	0	0	0
Molossus_molossus	0	0	0
Miniopterus_natalensis	0	0	0
Miniopterus_schreibersii	0	0	0
Myotis_septentrionalis	0	0	0
Myotis_myotis	0	0	0
Aeorestes_cinereus	0	0	0
Eptesicus_fuscus	0	0	0
Pipistrellus_pipistrellus	0	0	0
Pipistrellus_kuhlii	0	0	0
Tapirus_terrestris	0	0	0
Tapirus_indicus	0	0	0
Dicerorhinus_sumatrensis_sumatrensis	0	0	0
Rhinoceros_unicornis	0	0	0
Diceros_bicornis	0	0	0
Ceratotherium_simum_simum	0	0	0
Ceratotherium_simum_cottoni	0	0	0
Equus_przewalskii	0	0	0
Equus_caballus	0	0	0
Equus_asinus	0	0	0
Equus_asinus_asinus	0	0	0
Equus_zebra	0	0	0
Equus_burchellii_quagga	0	0	0
Equus_burchellii_boehmi	0	0	0
Manis_javanica	0	0	0
Manis_pentadactyla	0	0	0
Manis_tricuspis	0	0	0
Phataginus_tricuspis	0	0	0
Paradoxurus_hermaphroditus	0	0	0
Crocuta_crocuta	0	0	0
Hyaena_hyaena	0	0	0
Cryptoprocta_ferox	0	0	0
Suricata_suricatta	0	0	0
Mungos_mungo	0	0	0
Helogale_parvula	0	0	0
Neofelis_nebulosa	0	0	0
Panthera_uncia	0	0	0
Panthera_onca	0	0	0
Panthera_pardus	0	0	0
Panthera_leo	0	0	0
Lynx_pardinus	0	0	0
Lynx_canadensis	0	0	0
Puma_yagouaroundi	0	0	0
Acinonyx_jubatus	0	0	0
Prionailurus_bengalensis_euptilurus	0	0	0
Felis_nigripes	0	0	0
Felis_catus	0	0	0
Vulpes_vulpes	0	0	0
Vulpes_lagopus	0	0	0
Chrysocyon_brachyurus	0	0	0
Lycaon_pictus	0	0	0
Canis_lupus_dingo	0	0	0
Canis_lupus_familiaris	0	0	0
Ailuropoda_melanoleuca	0	0	0
Ursus_thibetanus_thibetanus	0	0	0
Helarctos_malayanus	0	0	0
Ursus_americanus	0	0	0
Ursus_arctos_horribilis	0	0	0
Spilogale_gracilis	0	0	0
Ailurus_fulgens	0	0	0
Potos_flavus	0	0	0
Nasua_narica	0	0	0
Procyon_lotor	0	0	0
Bassariscus_astutus	0	0	0
Bassariscus_sumichrasti	0	0	0
Taxidea_taxus_jeffersonii	0	0	0
Mellivora_capensis	0	0	0
Martes_zibellina	0	0	0
Neovison_vison	0	0	0
Mustela_erminea	0	0	0
Mustela_putorius_furo	0	0	0
Camelus_dromedarius	0	0	0
Camelus_bactrianus	0	0	0
Camelus_ferus	0	0	0
Vicugna_pacos_huacaya	0	0	0
Vicugna_pacos	0	0	0
Vicugna_vicugna_mensalis	0	0	0
Lama_glama_chaku	0	0	0
Lama_glama	0	0	0
Lama_guanicoe_cacsilensis	0	0	0
Catagonus_wagneri	0	0	0
Babyrousa_celebensis	0	0	0
Sus_scrofa	0	0	0
Tragulus_kanchil	0	0	0
Tragulus_javanicus	0	0	0
Antilocapra_americana	0	0	0
Okapia_johnstoni	0	0	0
Giraffa_tippelskirchi	0	0	0
Giraffa_camelopardalis	0	0	0
Muntiacus_reevesi	0	0	0
Muntiacus_crinifrons	0	0	0
Muntiacus_muntjak	0	0	0
Axis_porcinus	0	0	0
Elaphurus_davidianus	0	0	0
Przewalskium_albirostris	0	0	0
Cervus_hanglu_yarkandensis	0	0	0
Capreolus_pygargus	0	0	0
Hydropotes_inermis	0	0	0
Alces_alces	0	0	0
Rangifer_tarandus	0	0	0
Rangifer_tarandus_granti	0	0	0
Odocoileus_hemionus_hemionus	0	0	0
Odocoileus_virginianus_texanus	0	0	0
Odocoileus_virginianus	0	0	0
Moschus_berezovskii	0	0	0
Moschus_moschiferus	0	0	0
Oreotragus_oreotragus	0	0	0
Sylvicapra_grimmia	0	0	0
Cephalophus_harveyi	0	0	0
Procapra_przewalskii	0	0	0
Antidorcas_marsupialis	0	0	0
Litocranius_walleri	0	0	0
Nanger_granti	0	0	0
Eudorcas_thomsonii	0	0	0
Kobus_leche_leche	0	0	0
Kobus_ellipsiprymnus	0	0	0
Connochaetes_taurinus	0	0	0
Beatragus_hunteri	0	0	0
Damaliscus_lunatus	0	0	0
Hippotragus_niger_niger	0	0	0
Hippotragus_equinus	0	0	0
Oryx_gazella	0	0	0
Oryx_dammah	0	0	0
Oreamnos_americanus	0	0	0
Ammotragus_lervia	0	0	0
Capra_sibirica	0	0	0
Capra_aegagrus	0	0	0
Capra_hircus	0	0	0
Hemitragus_hylocrius	0	0	0
Ovis_aries	0	0	0
Ovis_orientalis	0	0	0
Ovis_nivicola_lydekkeri	0	0	0
Ovis_canadensis	0	0	0
Tragelaphus_strepsiceros	0	0	0
Bos_indicus	0	0	0
Bos_taurus	0	0	0
Bos_grunniens	0	0	0
Bos_mutus	0	0	0
Bos_frontalis	0	0	0
Bos_gaurus	0	0	0
