Species	MissingNumber
Acinonyx_jubatus	636
Acomys_cahirinus	1267
Acomys_russatus	790
Aeorestes_cinereus	1573
Ailuropoda_melanoleuca	898
Ailurus_fulgens	1212
Alces_alces	1016
Allactaga_bullata	1799
Allenopithecus_nigroviridis	729
Alouatta_palliata	1071
Ammotragus_lervia	623
Anoura_caudifer	1271
Antidorcas_marsupialis	1309
Antilocapra_americana	702
Aonyx_cinereus	790
Aotus_nancymaae	811
Aplodontia_rufa	1148
Artibeus_jamaicensis	883
Arvicanthis_niloticus	794
Arvicola_amphibius	1054
Ateles_geoffroyi	1031
Axis_porcinus	692
Babyrousa_celebensis	1138
Balaena_mysticetus	1456
Balaenoptera_acutorostrata_scammoni	1712
Balaenoptera_bonaerensis	2244
Balaenoptera_edeni	1070
Balaenoptera_musculus	979
Bassariscus_astutus	1113
Bassariscus_sumichrasti	935
Beatragus_hunteri	959
Bos_frontalis	1368
Bos_gaurus	721
Bos_grunniens	1526
Bos_indicus	1082
Bos_mutus	979
Bos_taurus	530
Bubalus_bubalis	611
Callithrix_jacchus	530
Callithrix_pygmaea	881
Callorhinus_ursinus	667
Camelus_bactrianus	1491
Camelus_dromedarius	765
Camelus_ferus	684
Canis_lupus_dingo	644
Canis_lupus_familiaris	532
Capra_aegagrus	654
Capra_hircus	580
Capra_sibirica	570
Capreolus_pygargus	872
Carlito_syrichta	1977
Castor_canadensis	1129
Catagonus_wagneri	715
Cavia_porcellus	1360
Cavia_tschudii	1100
Cebus_albifrons	1444
Cebus_capucinus_imitator	835
Cephalophus_harveyi	896
Cephalorhynchus_commersonii	1287
Ceratotherium_simum_cottoni	1244
Ceratotherium_simum_simum	861
Cercocebus_atys	499
Cercopithecus_mona	747
Cercopithecus_neglectus	1720
Cervus_hanglu_yarkandensis	828
Chinchilla_lanigera	1315
Chlorocebus_sabaeus	489
Choloepus_didactylus	731
Choloepus_hoffmanni	1236
Chrysochloris_asiatica	948
Chrysocyon_brachyurus	854
Coendou_prehensilis	1461
Colobus_angolensis_palliatus	1093
Connochaetes_taurinus	907
Craseonycteris_thonglongyai	1497
Cricetomys_gambianus	1201
Cricetulus_griseus	770
Crocuta_crocuta	555
Cryptoprocta_ferox	738
Ctenodactylus_gundi	1023
Ctenomys_sociabilis	1467
Cynomys_gunnisoni	656
Damaliscus_lunatus	948
Dasyprocta_punctata	1603
Dasypus_novemcinctus	1678
Daubentonia_madagascariensis	515
Delphinapterus_leucas	1189
Dicerorhinus_sumatrensis_sumatrensis	630
Diceros_bicornis	606
Dinomys_branickii	1079
Dipodomys_ordii	1660
Dolichotis_patagonum	1439
Dugong_dugon	1133
Echinops_telfairi	1835
Eidolon_dupreanum	1531
Elaphurus_davidianus	987
Elephantulus_edwardii	1369
Elephas_maximus	875
Enhydra_lutris_kenyoni	641
Enhydra_lutris_nereis	965
Eptesicus_fuscus	1423
Equus_asinus	1015
Equus_asinus_asinus	663
Equus_burchellii_boehmi	827
Equus_burchellii_quagga	831
Equus_caballus	473
Equus_przewalskii	1756
Equus_zebra	639
Erethizon_dorsatum	823
Erignathus_barbatus	825
Erythrocebus_patas	1070
Eschrichtius_robustus	936
Eubalaena_australis	985
Eubalaena_glacialis	1045
Eubalaena_japonica	1219
Eudorcas_thomsonii	931
Eulemur_flavifrons	910
Eulemur_fulvus	1605
Eulemur_macaco	1088
Eulemur_mongoz	1203
Eumetopias_jubatus	678
Felis_catus	528
Felis_nigripes	688
Galeopterus_variegatus	871
Giraffa_camelopardalis	594
Giraffa_tippelskirchi	896
Glis_glis	1420
Globicephala_melas	1234
Gorilla_gorilla_gorilla	712
Grammomys_surdaster	935
Grampus_griseus	1396
Halichoerus_grypus	691
Helarctos_malayanus	773
Helogale_parvula	1263
Hemitragus_hylocrius	903
Heterocephalus_glaber	1134
Heterohyrax_brucei	1627
Hippopotamus_amphibius	567
Hipposideros_armiger	1315
Hipposideros_galeritus	1250
Hippotragus_equinus	741
