Package	Version	LibPath	Priority
BH	1.87.0-1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
Biobase	2.66.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
BiocGenerics	0.52.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
BiocManager	1.30.26	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
BiocVersion	3.20.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
Biostrings	2.74.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
Brobdingnag	1.2-9	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
ComplexHeatmap	2.22.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
DBI	1.2.3	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
DEoptim	2.2-8	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
DT	0.34.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
Deriv	4.2.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
FNN	1.1.4.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
FSA	0.10.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
FactoMineR	2.13	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
FlexParamCurve	1.5-7	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
Formula	1.2-5	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
GPArotation	2025.3-1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
GenomeInfoDb	1.42.3	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
GenomeInfoDbData	1.2.13	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
GetoptLong	1.0.5	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
GlobalOptions	0.1.2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
Hmisc	5.2-5	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
IRanges	2.40.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
ISOcodes	2025.05.18	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
KernSmooth	2.23-26	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	recommended
MASS	7.3-65	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	recommended
Matrix	1.7-4	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	recommended
MatrixModels	0.5-4	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
NLP	0.3-2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
PlotTools	0.4.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
QuickJSR	1.8.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
R.methodsS3	1.8.2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
R.oo	1.27.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
R.utils	2.13.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
R6	2.6.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
RColorBrewer	1.1-3	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
RERconverge	0.3.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
ROCR	1.0-11	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
RSpectra	0.16-2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
Rcpp	1.1.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
RcppArmadillo	15.0.2-2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
RcppEigen	0.3.4.0.2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
RcppParallel	5.1.11-1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
Rdpack	2.6.6	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
Rhdf5lib	1.28.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
Rttf2pt1	1.3.14	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
S4Vectors	0.44.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
