Species	Branch
Dasypus_novemcinctus	B1
Myrmecophaga_tridactyla	B2
Choloepus_didactylus	B3
Choloepus_hoffmanni	B4
internal	B5
internal	B6
internal	B7
Orycteropus_afer_afer	B8
Elephantulus_edwardii	B9
Chrysochloris_asiatica	B10
Echinops_telfairi	B11
internal	B12
internal	B13
internal	B14
Loxodonta_africana	B15
Elephas_maximus	B16
internal	B17
Procavia_capensis	B18
Heterohyrax_brucei	B19
internal	B20
internal	B21
Trichechus_manatus_latirostris	B22
Dugong_dugon	B23
Hydrodamalis_gigas	B24
internal	B25
internal	B26
internal	B27
internal	B28
Tupaia_chinensis	B29
Ochotona_princeps	B30
Lepus_timidus	B31
Oryctolagus_cuniculus_cuniculus	B32
Sylvilagus_bachmani	B33
internal	B34
internal	B35
internal	B36
Glis_glis	B37
Muscardinus_avellanarius	B38
internal	B39
Aplodontia_rufa	B40
Sciurus_vulgaris	B41
Xerus_inauris	B42
Marmota_monax	B43
Urocitellus_parryii	B44
Cynomys_gunnisoni	B45
Ictidomys_tridecemlineatus	B46
internal	B47
internal	B48
internal	B49
internal	B50
internal	B51
internal	B52
internal	B53
Ctenodactylus_gundi	B54
Hystrix_cristata	B55
Heterocephalus_glaber	B56
Petromus_typicus	B57
Thryonomys_swinderianus	B58
internal	B59
internal	B60
Chinchilla_lanigera	B61
Dinomys_branickii	B62
internal	B63
Myocastor_coypus	B64
Ctenomys_sociabilis	B65
Octodon_degus	B66
internal	B67
internal	B68
internal	B69
Coendou_prehensilis	B70
Erethizon_dorsatum	B71
internal	B72
Dasyprocta_punctata	B73
Cavia_tschudii	B74
Hydrochoerus_hydrochaeris	B75
Dolichotis_patagonum	B76
internal	B77
internal	B78
internal	B79
internal	B80
internal	B81
internal	B82
internal	B83
internal	B84
internal	B85
Castor_canadensis	B86
Dipodomys_ordii	B87
internal	B88
Pedetes_capensis	B89
Allactaga_bullata	B90
Jaculus_jaculus	B91
internal	B92
Nannospalax_galili	B93
Rhizomys_pruinosus	B94
internal	B95
Cricetomys_gambianus	B96
Sigmodon_hispidus	B97
Onychomys_torridus	B98
Peromyscus_californicus_insignis	B99
internal	B100
internal	B101
Cricetulus_griseus	B102
Mesocricetus_auratus	B103
internal	B104
Ondatra_zibethicus	B105
Myodes_glareolus	B106
Microtus_agrestis	B107
Arvicola_amphibius	B108
internal	B109
internal	B110
internal	B111
internal	B112
internal	B113
Uromys_caudimaculatus	B114
Mastomys_coucha	B115
Mus_caroli	B116
internal	B117
Arvicanthis_niloticus	B118
Grammomys_surdaster	B119
internal	B120
internal	B121
internal	B122
Acomys_russatus	B123
Pachyuromys_duprasi	B124
Psammomys_obesus	B125
Rhombomys_opimus	B126
Meriones_unguiculatus	B127
internal	B128
internal	B129
internal	B130
internal	B131
internal	B132
internal	B133
internal	B134
internal	B135
internal	B136
internal	B137
internal	B138
internal	B139
internal	B140
internal	B141
Galeopterus_variegatus	B142
Nycticebus_coucang	B143
Otolemur_garnettii	B144
internal	B145
Daubentonia_madagascariensis	B146
Eulemur_flavifrons	B147
Lemur_catta	B148
Prolemur_simus	B149
internal	B150
internal	B151
Indri_indri	B152
Propithecus_coquereli	B153
internal	B154
Microcebus_murinus	B155
Mirza_coquereli	B156
internal	B157
internal	B158
internal	B159
internal	B160
internal	B161
Carlito_syrichta	B162
Pithecia_pithecia	B163
Plecturocebus_donacophilus	B164
internal	B165
Alouatta_palliata	B166
Ateles_geoffroyi	B167
internal	B168
Saimiri_boliviensis_boliviensis	B169
Cebus_capucinus_imitator	B170
Sapajus_apella	B171
internal	B172
internal	B173
Aotus_nancymaae	B174
Callithrix_jacchus	B175
Saguinus_imperator	B176
internal	B177
internal	B178
internal	B179
internal	B180
internal	B181
Colobus_angolensis_palliatus	B182
Piliocolobus_tephrosceles	B183
internal	B184
Pygathrix_nemaeus	B185
Rhinopithecus_bieti	B186
internal	B187
Trachypithecus_francoisi	B188
Semnopithecus_entellus	B189
internal	B190
internal	B191
internal	B192
Cercopithecus_mona	B193
Allenopithecus_nigroviridis	B194
Chlorocebus_sabaeus	B195
Erythrocebus_patas	B196
internal	B197
internal	B198
internal	B199
Macaca_mulatta	B200
Papio_anubis	B201
Theropithecus_gelada	B202
internal	B203
Cercocebus_atys	B204
Mandrillus_sphinx	B205
internal	B206
internal	B207
internal	B208
internal	B209
internal	B210
Hylobates_moloch	B211
Nomascus_leucogenys	B212
internal	B213
Pongo_abelii	B214
Gorilla_gorilla_gorilla	B215
Homo_sapiens	B216
Pan_troglodytes	B217
internal	B218
internal	B219
internal	B220
internal	B221
internal	B222
internal	B223
internal	B224
internal	B225
internal	B226
internal	B227
