species	marine_binary	aquaticity_score_sum_0_18	aquatic_v1_status	aquatic_v2_status	aquatic_v3_status	legacy_marine2	legacy_aquatic2	aquatic_trait_source	aquatic_scoring_scheme	aquatic_score_range
Acinonyx_jubatus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Acomys_russatus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Aeorestes_cinereus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Ailuropoda_melanoleuca	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Ailurus_fulgens	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Alces_alces	0	4	1	0.5	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Allactaga_bullata	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Allenopithecus_nigroviridis	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Alouatta_palliata	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Ammotragus_lervia	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Anoura_caudifer	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Antidorcas_marsupialis	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Antilocapra_americana	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Aonyx_cinereus	0	10	1	1	1	0	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Aotus_nancymaae	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Aplodontia_rufa	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Artibeus_jamaicensis	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Arvicanthis_niloticus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Arvicola_amphibius	0	7	1	1	1	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Ateles_geoffroyi	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Axis_porcinus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Babyrousa_celebensis	0	2	1	0.5	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Balaena_mysticetus	1	18	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Balaenoptera_acutorostrata_scammoni	1	18	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Balaenoptera_bonaerensis	1	18	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Balaenoptera_edeni	1	18	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Balaenoptera_musculus	1	18	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Bassariscus_astutus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Bassariscus_sumichrasti	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Beatragus_hunteri	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Bos_frontalis	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Bos_mutus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Bubalus_bubalis	0	2	1	0.5	0	0	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Callithrix_jacchus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Callorhinus_ursinus	1	14	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Camelus_ferus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Capra_aegagrus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Capra_sibirica	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Capreolus_pygargus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Carlito_syrichta	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Castor_canadensis	0	14	1	1	1	0	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Catagonus_wagneri	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Cavia_tschudii	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Cebus_capucinus_imitator	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Cephalophus_harveyi	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Cephalorhynchus_commersonii	1	18	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Ceratotherium_simum_simum	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Cercocebus_atys	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Cercopithecus_mona	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Cervus_hanglu_yarkandensis	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Chinchilla_lanigera	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Chlorocebus_sabaeus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Choloepus_didactylus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Choloepus_hoffmanni	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Chrysochloris_asiatica	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Chrysocyon_brachyurus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Coendou_prehensilis	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Colobus_angolensis_palliatus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Connochaetes_taurinus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Craseonycteris_thonglongyai	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Cricetomys_gambianus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Cricetulus_griseus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Crocuta_crocuta	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Cryptoprocta_ferox	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Ctenodactylus_gundi	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Ctenomys_sociabilis	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Cynomys_gunnisoni	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Damaliscus_lunatus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Dasyprocta_punctata	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Dasypus_novemcinctus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Daubentonia_madagascariensis	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Delphinapterus_leucas	1	18	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Dicerorhinus_sumatrensis_sumatrensis	0	3	1	0.5	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
