species	genus	model	trait_category	marine_binary	binary_aquatic_endpoint	aquaticity_score	held_out_genus	corrected_globalFDR_OOF_prediction	nested_ttest_OOF_prediction	prediction_delta	nested_OOF_available	exclusion_reason	fold_n_candidate_features_FDR	fold_n_features_after_preprocessing	fold_n_selected_predictors	fold_model_status	panel	plot_color	source_file
Acinonyx_jubatus	Acinonyx	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Acinonyx	0.00698947232608314	0.0128129693045926	0.00582349697850947	TRUE		1567	1567	69	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Acomys_russatus	Acomys	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Acomys	0.0034224956421907	0.00314605948581314	-0.000276436156377559	TRUE		1557	1557	73	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Aeorestes_cinereus	Aeorestes	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Aeorestes	0.00407011084423708	0.00434706259133135	0.000276951747094266	TRUE		1556	1556	68	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Ailuropoda_melanoleuca	Ailuropoda	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Ailuropoda	0.00946043241731164	0.0109467152530092	0.00148628283569758	TRUE		1561	1561	74	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Ailurus_fulgens	Ailurus	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Ailurus	0.00376247563357167	0.00375941915649292	-3.05647707874845e-06	TRUE		1557	1557	71	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Alces_alces	Alces	marine_binary_nested_ttest_baseline	semi-aquatic	0		4	Alces	0.00350409603695365	0.00158724166510412	-0.00191685437184953	TRUE		1558	1558	74	fit_nonzero_predictors	Marine model	#f1a340	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Allactaga_bullata	Allactaga	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Allactaga	0.00504216294349887	0.00493977216725208	-0.00010239077624679	TRUE		1558	1558	72	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Allenopithecus_nigroviridis	Allenopithecus	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Allenopithecus	0.00024428019394587	0.000846822841831607	0.000602542647885737	TRUE		1563	1563	68	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Alouatta_palliata	Alouatta	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Alouatta	0.00745203956116919	0.00723724145299198	-0.000214798108177207	TRUE		1563	1563	71	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Ammotragus_lervia	Ammotragus	marine_binary_nested_ttest_baseline	terrestrial	0	0	0	Ammotragus	0.00506124750384477	0.00505133898766694	-9.90851617783256e-06	TRUE		1565	1565	68	fit_nonzero_predictors	Marine model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
