gene_set	category	term_id	term_description	observed_gene_count	background_gene_count	strength	signal	FDR	minus_log10_FDR	selected_for_main_figure	theme	selection_rule
marine_slow	GO Process	GO:0051276	Chromosome organization	112	968	0.22	0.4	0.0059	2.229147988357856	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Process	GO:0001817	Regulation of cytokine production	88	739	0.24	0.36	0.0136	1.8664610916297824	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Process	GO:0006325	Chromatin organization	77	612	0.26	0.36	0.0136	1.8664610916297824	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Process	GO:0001819	Positive regulation of cytokine production	62	482	0.27	0.34	0.0217	1.6635402661514704	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Process	GO:0002697	Regulation of immune effector process	52	383	0.29	0.34	0.0217	1.6635402661514704	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Process	GO:0002699	Positive regulation of immune effector process	40	264	0.34	0.35	0.0217	1.6635402661514704	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Process	GO:0002703	Regulation of leukocyte mediated immunity	38	239	0.36	0.35	0.0217	1.6635402661514704	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Process	GO:0002705	Positive regulation of leukocyte mediated immunity	26	138	0.44	0.36	0.0217	1.6635402661514704	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Process	GO:0003006	Developmental process involved in reproduction	109	1023	0.19	0.32	0.0217	1.6635402661514704	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Process	GO:0008152	Metabolic process	634	7988	0.06	0.29	0.0217	1.6635402661514704	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Process	GO:0009893	Positive regulation of metabolic process	330	3847	0.09	0.3	0.0217	1.6635402661514704	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Process	GO:0010033	Response to organic substance	245	2692	0.12	0.31	0.0217	1.6635402661514704	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Process	GO:0019221	Cytokine-mediated signaling pathway	51	369	0.3	0.34	0.0217	1.6635402661514704	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Process	GO:0044237	Cellular metabolic process	532	6568	0.07	0.29	0.0217	1.6635402661514704	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
