gene	model	lasso_group	gene_set	coef	abs_coef	coefficient_sign	coefficient_direction	axis_x	x	y	size	is_representative_label	shared_x	shared_y	shared_mean_coef	shared_abs_mean_coef	shared_color	shared_coefficient_direction	marine_aquatic_sign_opposite
TGM3	Marine model	shared	Shared aquatic foundation	0.691315381170856	0.691315381170856	positive	fast_direction_higher_rate	-2.85	-2.2787795362734897	71.0	42	True	0.0	95.0	0.866062040184838	0.866062040184838	#8B0000	fast_direction_higher_rate	False
MYH13	Marine model	marine_specific	Marine-specific predictors	0.480299625271563	0.480299625271563	positive	fast_direction_higher_rate	-2.85	-2.453137754275591	70.0	30	True							
KCNK18	Marine model	shared	Shared aquatic foundation	0.43928773003255	0.43928773003255	positive	fast_direction_higher_rate	-2.85	-2.4870250862441856	69.0	30	True	0.0	91.21739130434783	0.328424489119443	0.328424489119443	#8B0000	fast_direction_higher_rate	False
SDR9C7	Marine model	shared	Shared aquatic foundation	0.409389888665918	0.409389888665918	positive	fast_direction_higher_rate	-2.85	-2.5117290914999986	68.0	30	True	0.0	87.43478260869566	0.3147859389870795	0.3147859389870795	#8B0000	fast_direction_higher_rate	False
MYH7B	Marine model	marine_specific	Marine-specific predictors	0.397856553371577	0.397856553371577	positive	fast_direction_higher_rate	-2.85	-2.521258862302999	67.0	30	True							
KRTDAP	Marine model	shared	Shared aquatic foundation	0.386565925079529	0.386565925079529	positive	fast_direction_higher_rate	-2.85	-2.5305880890270216	66.0	30	True	0.0	72.30434782608695	0.21564824850848727	0.21564824850848727	#8B0000	fast_direction_higher_rate	False
ACP4	Marine model	marine_specific	Marine-specific predictors	0.36185377349003	0.36185377349003	positive	fast_direction_higher_rate	-2.85	-2.5510072596040247	65.0	30	True							
OMP	Marine model	shared	Shared aquatic foundation	0.345615697623917	0.345615697623917	positive	fast_direction_higher_rate	-2.85	-2.564424466104707	64.0	30	True	0.0	79.86956521739131	0.2883801206359645	0.2883801206359645	#8B0000	fast_direction_higher_rate	False
CAPN14	Marine model	marine_specific	Marine-specific predictors	0.342438899161804	0.342438899161804	positive	fast_direction_higher_rate	-2.85	-2.5670493929327782	63.0	30	True							
HIGD1B	Marine model	marine_specific	Marine-specific predictors	0.328380050132626	0.328380050132626	positive	fast_direction_higher_rate	-2.85	-2.57866594665144	62.0	30	True							
OR52W1	Marine model	shared	Shared aquatic foundation	0.282799403614638	0.282799403614638	positive	fast_direction_higher_rate	-2.85	-2.6163283490080342	61.0	30	True	0.0	76.08695652173913	0.236742040441452	0.236742040441452	#8B0000	fast_direction_higher_rate	False
HOXD10	Marine model	marine_specific	Marine-specific predictors	0.28020716230031	0.28020716230031	positive	fast_direction_higher_rate	-2.85	-2.6184702676257765	60.0	30	True							
IL33	Marine model	shared	Shared aquatic foundation	0.27044270721607	0.27044270721607	positive	fast_direction_higher_rate	-2.85	-2.6265384470894095	59.0	30	True	0.0	83.65217391304348	0.305240821108544	0.305240821108544	#8B0000	fast_direction_higher_rate	False
NKPD1	Marine model	marine_specific	Marine-specific predictors	0.230941713295598	0.230941713295598	positive	fast_direction_higher_rate	-2.85	-2.659177350662905	58.0	30	True							
KRT17	Marine model	marine_specific	Marine-specific predictors	0.189861649168978	0.189861649168978	positive	fast_direction_higher_rate	-2.85	-2.6931210092584648	57.0	22	True							
IL36G	Marine model	marine_specific	Marine-specific predictors	0.166019839478868	0.166019839478868	positive	fast_direction_higher_rate	-2.85	-2.7128210332391234	56.0	22	True							
ESYT3	Marine model	marine_specific	Marine-specific predictors	0.153832070750976	0.153832070750976	positive	fast_direction_higher_rate	-2.85	-2.722891549669333	55.0	22	False							
ALOX12B	Marine model	marine_specific	Marine-specific predictors	0.149753620737968	0.149753620737968	positive	fast_direction_higher_rate	-2.85	-2.7262614936502843	54.0	22	False							
CALHM1	Marine model	marine_specific	Marine-specific predictors	0.145696679568621	0.145696679568621	positive	fast_direction_higher_rate	-2.85	-2.7296136652917435	53.0	22	False							
