perm_id	seed	matched_terminal_positive_count	matched_terminal_negative_count	post_ASR_screened_branch_positive_count	post_ASR_screened_branch_negative_count	count_scope_note	n_positive	n_negative	n_tested_genes	n_sig_FDR_0_01	n_slow	n_fast	slow_proportion	slow_proportion_defined	positive_t_all	negative_t_all	notes	permutation_source	public_count_scope
1	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17258	4	0	4	0.0	True	7614	9644	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
2	20260520	17	251	18	549	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	18	549	17331	16	0	16	0.0	True	6799	10532	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
3	20260520	17	251	18	549	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	18	549	17256	23	0	23	0.0	True	7240	10016	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
4	20260520	17	251	18	549	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	18	549	17307	3	1	2	0.333333333333333	True	8350	8957	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
5	20260520	17	251	18	549	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	18	549	17314	9	2	7	0.222222222222222	True	6843	10471	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
6	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17289	15	1	14	0.0666666666666667	True	5873	11416	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
7	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17345	92	0	92	0.0	True	6009	11336	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
8	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17315	6	0	6	0.0	True	7473	9842	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
9	20260520	17	251	19	548	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	19	548	17310	9	0	9	0.0	True	8428	8882	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
10	20260520	17	251	18	549	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	18	549	17315	2	1	1	0.5	True	7702	9613	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
