row_type,group,label,source_id,marine_probability,aquatic_probability,trait_category,aquaticity_score,source_layer,branch_id,target_type,target_note,axis_delta_aquatic_minus_marine,projection_summary
terminal,Core cetacean,Killer whale,Orcinus_orca,0.988979173692646,0.965065143541489,marine,18.0,Task003 corrected full-data terminal fitted projection,,,,-0.023914030151157006,high on both fitted axes
terminal,Core pinniped,California sea lion,Zalophus_californianus,0.998931304738824,0.992174555158986,marine,14.0,Task003 corrected full-data terminal fitted projection,,,,-0.006756749579837962,high on both fitted axes
terminal,Heterogeneous pinniped,Weddell seal,Leptonychotes_weddellii,0.96040772235456,0.971438201119649,marine,15.0,Task003 corrected full-data terminal fitted projection,,,,0.011030478765089002,high on both fitted axes
terminal,Heterogeneous pinniped,Walrus,Odobenus_rosmarus_divergens,0.935399878086405,0.954123739021385,marine,14.0,Task003 corrected full-data terminal fitted projection,,,,0.01872386093498002,high on both fitted axes
terminal,Sirenian / edge,Dugong,Dugong_dugon,0.795748448736781,0.845895510499195,marine,18.0,Task003 corrected full-data terminal fitted projection,,,,0.050147061762414014,high on both fitted axes
terminal,Marine edge,Polar bear,Ursus_maritimus,0.953796529066625,0.946994007558615,marine,7.0,Task003 corrected full-data terminal fitted projection,,,,-0.006802521508010084,high on both fitted axes
terminal,Marine edge,Sea otter,Enhydra_lutris_kenyoni,0.847807751396366,0.947979632638984,marine,13.0,Task003 corrected full-data terminal fitted projection,,,,0.100171881242618,high on both fitted axes
terminal,River dolphin bridge,Platanista,Platanista_minor,0.99172558361414,0.990729327563951,marine,18.0,Task003 corrected full-data terminal fitted projection,,,,-0.0009962560501889373,high on both fitted axes
terminal,River dolphin bridge,Inia,Inia_geoffrensis,0.98985718274512,0.998162267277566,marine,18.0,Task003 corrected full-data terminal fitted projection,,,,0.008305084532445939,high on both fitted axes
terminal,River dolphin bridge,Baiji,Lipotes_vexillifer,0.951217379912822,0.985895997040496,marine,18.0,Task003 corrected full-data terminal fitted projection,,,,0.03467861712767406,high on both fitted axes
terminal,Non-marine aquatic controls,Hippopotamus,Hippopotamus_amphibius,0.01476179288074,0.761320161124533,non-marine aquatic,11.0,Task003 corrected full-data terminal fitted projection,,,,0.7465583682437931,"aquatic-axis high, marine-axis low"
terminal,Non-marine aquatic controls,Small-clawed otter,Aonyx_cinereus,0.0174453271745958,0.936388419010658,non-marine aquatic,10.0,Task003 corrected full-data terminal fitted projection,,,,0.9189430918360622,"aquatic-axis high, marine-axis low"
terminal,Non-marine aquatic controls,Giant otter,Pteronura_brasiliensis,0.0148804431998799,0.820591596593981,non-marine aquatic,12.0,Task003 corrected full-data terminal fitted projection,,,,0.805711153394101,"aquatic-axis high, marine-axis low"
internal,Cetacean ancestry,Cetacea + hippo ancestor,common_ancestor_Cetacea_plus_Hippopotamus,0.0067269490074164,0.570935263007506,,,"Task001 terminal-only internal branch projection; descriptive, not OOF validation",B593,internal_clade,Exact internal clade: Hippopotamus_amphibius plus sampled Cetacea; native B593 maps to old B593.,0.5642083140000895,intermediate or divergent
internal,Cetacean ancestry,Crown Cetacea,crown_Cetacea,0.45689564246627,0.870995141333694,,,"Task001 terminal-only internal branch projection; descriptive, not OOF validation",B592,internal_clade,Exact internal clade: sampled crown Cetacea; native B592 maps to old B592.,0.41409949886742403,intermediate or divergent
internal,Cetacean ancestry,Odontoceti,Odontoceti,0.430807670449108,0.655695346801624,,,"Task001 terminal-only internal branch projection; descriptive, not OOF validation",B591,internal_clade,Exact internal clade: sampled Odontoceti; native B591 maps to old B591.,0.224887676352516,intermediate or divergent
internal,Pinniped ancestry,Crown Pinnipedia,Pinnipedia,0.0068586260447792,0.0444663021183566,,,"Task001 terminal-only internal branch projection; descriptive, not OOF validation",B410,internal_clade,Exact internal clade: sampled Pinnipedia; native B501 maps to old B410.,0.0376076760735774,low on both fitted axes
internal,Pinniped ancestry,Phocidae,Phocidae,0.80267946919651,0.705908901895992,,,"Task001 terminal-only internal branch projection; descriptive, not OOF validation",B409,internal_clade,Exact internal clade: sampled Phocidae; native B500 maps to old B409.,-0.09677056730051803,intermediate or divergent
internal,Pinniped ancestry,Otarioidea,Otarioidea,0.0187671130954682,0.232820489343788,,,"Task001 terminal-only internal branch projection; descriptive, not OOF validation",B394,internal_clade,Exact internal clade: Odobenus plus sampled otariids; native B493 maps to old B394.,0.2140533762483198,low on both fitted axes
internal,Pinniped ancestry,Otariidae,Otariidae,0.0370003409149321,0.097771526765442,,,"Task001 terminal-only internal branch projection; descriptive, not OOF validation",B393,internal_clade,Exact internal clade: sampled Otariidae; native B492 maps to old B393.,0.0607711858505099,low on both fitted axes
internal,Sirenian decoupling context,Sirenia,Sirenia,0.0045102598026588,0.240386348235891,,,"Task001 terminal-only internal branch projection; descriptive, not OOF validation",B26,internal_clade,Exact internal clade: sampled Sirenia; native B313 maps to old B26.,0.2358760884332322,low on both fitted axes
internal,Sirenian decoupling context,Dugong + Hydrodamalis,Dugong_plus_Hydrodamalis,0.0006119185803617,0.173031539352338,,,"Task001 terminal-only internal branch projection; descriptive, not OOF validation",B25,internal_clade,Exact internal clade: Dugong_dugon plus Hydrodamalis_gigas; native B312 maps to old B25.,0.1724196207719763,low on both fitted axes
