species,display_label,clade_group,trait_category,aquaticity_score,model,gene,gene_order,predictor_class,module,coefficient,scaled_GBI,contribution,abs_contribution,contribution_sign,GBI_raw_if_available,imputed_flag,fitted_probability,fitted_logit,portrait_role
Orcinus_orca,killer whale,cetacean,marine,18,marine,EPOR,1,shared,Vascular / hematologic regulation,-0.562386788005208,1.71406099062892,-0.963965254964826,0.963965254964826,negative,102.480049988451,False,0.988979173692646,4.49688649002402,core cetacean
Orcinus_orca,killer whale,cetacean,marine,18,marine,TPX2,2,marine_specific,DNA repair / chromatin / cell-cycle,-0.547364151458345,-0.277115407924932,0.151683040114863,0.151683040114863,positive,43.0468549450615,False,0.988979173692646,4.49688649002402,core cetacean
Orcinus_orca,killer whale,cetacean,marine,18,marine,HGFAC,3,shared,Vascular / hematologic regulation,-0.314672853107267,-0.0608419467377371,0.0191453089685641,0.0191453089685641,positive,62.4907943541983,False,0.988979173692646,4.49688649002402,core cetacean
Orcinus_orca,killer whale,cetacean,marine,18,marine,SYDE1,4,shared,Cytoskeletal / muscle / ECM / adhesion,-0.314258007626709,-1.31940318290691,0.414633015516664,0.414633015516664,positive,21.3131380008282,False,0.988979173692646,4.49688649002402,core cetacean
Orcinus_orca,killer whale,cetacean,marine,18,marine,PUSL1,5,shared,Metabolism / redox / lipid handling,-0.270477624990477,-0.189143267803945,0.0511590218585486,0.0511590218585486,positive,48.4722806674438,False,0.988979173692646,4.49688649002402,core cetacean
Orcinus_orca,killer whale,cetacean,marine,18,marine,CATSPERZ,6,shared,Cilia / flagella / reproductive-cell function,-0.264244206101874,-1.16646446859008,0.308231477448631,0.308231477448631,positive,0.0,False,0.988979173692646,4.49688649002402,core cetacean
Orcinus_orca,killer whale,cetacean,marine,18,marine,F11,7,marine_specific,Vascular / hematologic regulation,-0.254306353084796,-0.280765994598129,0.0714005761564759,0.0714005761564759,positive,51.7515475742301,False,0.988979173692646,4.49688649002402,core cetacean
Orcinus_orca,killer whale,cetacean,marine,18,marine,WDR93,8,shared,Cilia / flagella / reproductive-cell function,-0.242927446164409,-0.693565066197577,0.168485990280226,0.168485990280226,positive,32.7480383777357,False,0.988979173692646,4.49688649002402,core cetacean
Orcinus_orca,killer whale,cetacean,marine,18,marine,CD34,9,shared,Vascular / hematologic regulation,-0.231912055829233,1.42394381155452,-0.330229736722923,0.330229736722923,negative,103.904118670935,False,0.988979173692646,4.49688649002402,core cetacean
Orcinus_orca,killer whale,cetacean,marine,18,marine,ASMTL,10,shared,Endocrine / circadian / systemic regulation,-0.225475311673798,-0.145768403827586,0.0328671762852171,0.0328671762852171,positive,81.2657286114474,False,0.988979173692646,4.49688649002402,core cetacean
