"species","display_label","clade_group","trait_category","aquaticity_score","model","n_predictors","n_imputed_predictors","intercept","contribution_sum","fitted_logit","fitted_probability","OOF_probability_if_available","OOF_logit_if_available","fitted_minus_OOF","evidence_label"
"Orcinus_orca","Orcinus orca","cetacean","marine",18,"binary_aquatic_dependence",101,8,-2.75018905096971,6.06889957311094,3.31871052214123,0.965065143541489,0.6663828909,0.6918704611,0.298682252641489,"descriptive full-data fitted projection after corrected preprocessing; not held-out validation"
"Orcinus_orca","Orcinus orca","cetacean","marine",18,"marine",71,9,-3.98243194839294,8.47931843841696,4.49688649002402,0.988979173692646,0.9698582949,3.47124021,0.019120878792646,"descriptive full-data fitted projection after corrected preprocessing; not held-out validation"
"Zalophus_californianus","Zalophus californianus","pinniped","marine",14,"binary_aquatic_dependence",101,0,-2.75018905096971,7.59270752213449,4.84251847116478,0.992174555158986,0.8248221326,1.549365923,0.167352422558986,"descriptive full-data fitted projection after corrected preprocessing; not held-out validation"
"Zalophus_californianus","Zalophus californianus","pinniped","marine",14,"marine",71,4,-3.98243194839294,10.8226794383074,6.84024748991445,0.998931304738824,0.9977872014,6.111281958,0.00114410333882353,"descriptive full-data fitted projection after corrected preprocessing; not held-out validation"
"Leptonychotes_weddellii","Leptonychotes weddellii","pinniped","marine",15,"binary_aquatic_dependence",101,6,-2.75018905096971,6.27689658445222,3.52670753348251,0.971438201119649,0.4286065525,-0.2875386511,0.542831648619649,"descriptive full-data fitted projection after corrected preprocessing; not held-out validation"
"Leptonychotes_weddellii","Leptonychotes weddellii","pinniped","marine",15,"marine",71,5,-3.98243194839294,7.17115576318656,3.18872381479362,0.96040772235456,0.6518247392,0.6270697451,0.308582983154561,"descriptive full-data fitted projection after corrected preprocessing; not held-out validation"
"Odobenus_rosmarus_divergens","Odobenus rosmarus","pinniped","marine",14,"binary_aquatic_dependence",101,1,-2.75018905096971,5.78503462621089,3.03484557524118,0.954123739021385,0.4372137563,-0.252477662,0.516909982721385,"descriptive full-data fitted projection after corrected preprocessing; not held-out validation"
"Odobenus_rosmarus_divergens","Odobenus rosmarus","pinniped","marine",14,"marine",71,3,-3.98243194839294,6.65518976535747,2.67275781696453,0.935399878086405,0.535380708,0.1417597541,0.400019170086405,"descriptive full-data fitted projection after corrected preprocessing; not held-out validation"
"Ursus_maritimus","Ursus maritimus","marine edge","marine",7,"binary_aquatic_dependence",101,10,-2.75018905096971,5.63307684422759,2.88288779325788,0.946994007558615,2.588406045e-06,-12.86446571,0.94699141915257,"descriptive full-data fitted projection after corrected preprocessing; not held-out validation"
"Ursus_maritimus","Ursus maritimus","marine edge","marine",7,"marine",71,9,-3.98243194839294,7.00982739149889,3.02739544310594,0.953796529066625,0.001531089214,-6.48024363,0.952265439852625,"descriptive full-data fitted projection after corrected preprocessing; not held-out validation"
"Enhydra_lutris_kenyoni","Enhydra lutris","marine edge","marine",13,"binary_aquatic_dependence",101,1,-2.75018905096971,5.65288674652154,2.90269769555183,0.947979632638984,0.132114578,-1.882390143,0.815865054638984,"descriptive full-data fitted projection after corrected preprocessing; not held-out validation"
"Enhydra_lutris_kenyoni","Enhydra lutris","marine edge","marine",13,"marine",71,2,-3.98243194839294,5.69994133510984,1.7175093867169,0.847807751396366,0.02953606299,-3.492162252,0.818271688406366,"descriptive full-data fitted projection after corrected preprocessing; not held-out validation"
"Dugong_dugon","Dugong dugon","sirenian","marine",18,"binary_aquatic_dependence",101,65,-2.75018905096971,4.45295401731336,1.70276496634365,0.845895510499195,0.06992781,-2.587798783,0.775967700499195,"descriptive full-data fitted projection after corrected preprocessing; not held-out validation"
"Dugong_dugon","Dugong dugon","sirenian","marine",18,"marine",71,34,-3.98243194839294,5.34236273648261,1.35993078808967,0.795748448736781,0.01314653425,-4.318363396,0.782601914486781,"descriptive full-data fitted projection after corrected preprocessing; not held-out validation"
"Trichechus_manatus_latirostris","Trichechus manatus","sirenian","marine",18,"binary_aquatic_dependence",101,8,-2.75018905096971,4.86861259367097,2.11842354270126,0.892680995791885,0.1510107572,-1.726695442,0.741670238591885,"descriptive full-data fitted projection after corrected preprocessing; not held-out validation"
"Trichechus_manatus_latirostris","Trichechus manatus","sirenian","marine",18,"marine",71,7,-3.98243194839294,6.32104185291409,2.33860990452115,0.91202461372592,0.2641211624,-1.024657536,0.64790345132592,"descriptive full-data fitted projection after corrected preprocessing; not held-out validation"
"Hydrodamalis_gigas","Hydrodamalis gigas","sirenian","marine",18,"binary_aquatic_dependence",101,65,-2.75018905096971,3.72936437092862,0.979175319958917,0.726944551151223,0.3498351946,-0.6197637067,0.377109356551223,"descriptive full-data fitted projection after corrected preprocessing; not held-out validation"
"Hydrodamalis_gigas","Hydrodamalis gigas","sirenian","marine",18,"marine",71,34,-3.98243194839294,5.06848475338155,1.08605280498861,0.747637710578571,0.1068715457,-2.123102811,0.640766164878571,"descriptive full-data fitted projection after corrected preprocessing; not held-out validation"
"Hippopotamus_amphibius","Hippopotamus amphibius","non-marine aquatic control","non-marine aquatic",11,"binary_aquatic_dependence",101,5,-2.75018905096971,3.91011996383908,1.15993091286937,0.761320161124533,0.101105365,-2.185002634,0.660214796124533,"descriptive full-data fitted projection after corrected preprocessing; not held-out validation"
"Hippopotamus_amphibius","Hippopotamus amphibius","non-marine aquatic control","non-marine aquatic",11,"marine",71,3,-3.98243194839294,-0.218409217500305,-4.20084116589324,0.01476179288074,0.03201129472,-3.409131619,-0.01724950183926,"descriptive full-data fitted projection after corrected preprocessing; not held-out validation"
"Lutra_lutra","Lutra lutra","non-marine aquatic control","non-marine aquatic",10,"binary_aquatic_dependence",101,2,-2.75018905096971,5.21448536742416,2.46429631645446,0.921600646945408,0.05830272478,-2.782035029,0.863297922165408,"descriptive full-data fitted projection after corrected preprocessing; not held-out validation"
"Lutra_lutra","Lutra lutra","non-marine aquatic control","non-marine aquatic",10,"marine",71,2,-3.98243194839294,-0.40666255909424,-4.38909450748718,0.0122597949510061,0.03191469219,-3.412253737,-0.0196548972389939,"descriptive full-data fitted projection after corrected preprocessing; not held-out validation"
"Lontra_canadensis","Lontra canadensis","non-marine aquatic control","non-marine aquatic",10,"binary_aquatic_dependence",101,1,-2.75018905096971,4.86681703232539,2.11662798135568,0.892508856752229,0.1637603598,-1.630511085,0.728748496952229,"descriptive full-data fitted projection after corrected preprocessing; not held-out validation"
"Lontra_canadensis","Lontra canadensis","non-marine aquatic control","non-marine aquatic",10,"marine",71,1,-3.98243194839294,0.152372130867303,-3.83005981752564,0.0212470787316376,0.02524400478,-3.653598485,-0.00399692604836238,"descriptive full-data fitted projection after corrected preprocessing; not held-out validation"
"Pteronura_brasiliensis","Pteronura brasiliensis","non-marine aquatic control","non-marine aquatic",12,"binary_aquatic_dependence",101,0,-2.75018905096971,4.27054980010659,1.52036074913688,0.820591596593981,0.1789541283,-1.523449475,0.641637468293981,"descriptive full-data fitted projection after corrected preprocessing; not held-out validation"
"Pteronura_brasiliensis","Pteronura brasiliensis","non-marine aquatic control","non-marine aquatic",12,"marine",71,1,-3.98243194839294,-0.210283248976004,-4.19271519736894,0.0148804431998799,0.02009405486,-3.8870326,-0.00521361166012013,"descriptive full-data fitted projection after corrected preprocessing; not held-out validation"
"Aonyx_cinereus","Aonyx cinereus","non-marine aquatic control","non-marine aquatic",10,"binary_aquatic_dependence",101,2,-2.75018905096971,5.43942387414651,2.6892348231768,0.936388419010658,0.2006405723,-1.382295582,0.735747846710658,"descriptive full-data fitted projection after corrected preprocessing; not held-out validation"
"Aonyx_cinereus","Aonyx cinereus","non-marine aquatic control","non-marine aquatic",10,"marine",71,2,-3.98243194839294,-0.048652211346696,-4.03108415973964,0.0174453271745958,0.05576167107,-2.829291866,-0.0383163438954042,"descriptive full-data fitted projection after corrected preprocessing; not held-out validation"
"Platanista_minor","Platanista minor","freshwater cetacean","marine",18,"binary_aquatic_dependence",101,15,-2.75018905096971,7.42177450148612,4.67158545051641,0.990729327563951,0.8460370122,1.703850874,0.144692315363951,"descriptive full-data fitted projection after corrected preprocessing; not held-out validation"
"Platanista_minor","Platanista minor","freshwater cetacean","marine",18,"marine",71,10,-3.98243194839294,8.76870999660014,4.7862780482072,0.99172558361414,0.9727655427,3.575660106,0.0189600409141396,"descriptive full-data fitted projection after corrected preprocessing; not held-out validation"
"Inia_geoffrensis","Inia geoffrensis","freshwater cetacean","marine",18,"binary_aquatic_dependence",101,14,-2.75018905096971,9.0475723107769,6.29738325980719,0.998162267277566,0.9868384061,4.317203269,0.0113238611775658,"descriptive full-data fitted projection after corrected preprocessing; not held-out validation"
"Inia_geoffrensis","Inia geoffrensis","freshwater cetacean","marine",18,"marine",71,10,-3.98243194839294,8.56322682590091,4.58079487750797,0.98985718274512,0.9910778105,4.710251677,-0.00122062775487985,"descriptive full-data fitted projection after corrected preprocessing; not held-out validation"
"Lipotes_vexillifer","Lipotes vexillifer","freshwater cetacean","marine",18,"binary_aquatic_dependence",101,13,-2.75018905096971,6.99728126540408,4.24709221443438,0.985895997040496,0.937169917,2.70243062,0.0487260800404959,"descriptive full-data fitted projection after corrected preprocessing; not held-out validation"
"Lipotes_vexillifer","Lipotes vexillifer","freshwater cetacean","marine",18,"marine",71,9,-3.98243194839294,6.9528004614982,2.97036851310526,0.951217379912822,0.6593856994,0.6605578895,0.291831680512822,"descriptive full-data fitted projection after corrected preprocessing; not held-out validation"
