target_name	native_branch_label	branch_id	target_type	target_note	branch_label_found	trait	model	context	predicted_probability	logit	n_candidate_features	n_selected_predictors	lambda_min
common_ancestor_Cetacea_plus_Hippopotamus	B593	B593	internal_clade	Exact internal clade: Hippopotamus_amphibius plus sampled Cetacea; native B593 maps to old B593.	TRUE	marine_binary	marine_terminal_only_full_data_projection	terminal_only_internal_projection	0.00672694900741643	-4.99488390334081	678	77	0.00205406734504723
crown_Cetacea	B592	B592	internal_clade	Exact internal clade: sampled crown Cetacea; native B592 maps to old B592.	TRUE	marine_binary	marine_terminal_only_full_data_projection	terminal_only_internal_projection	0.45689564246627	-0.172846477102905	678	77	0.00205406734504723
Mysticeti	B568	B544	internal_clade	Exact internal clade: sampled Mysticeti; native B568 maps to old B544.	TRUE	marine_binary	marine_terminal_only_full_data_projection	terminal_only_internal_projection	0.927931769086741	2.5553448835413	678	77	0.00205406734504723
Odontoceti	B591	B591	internal_clade	Exact internal clade: sampled Odontoceti; native B591 maps to old B591.	TRUE	marine_binary	marine_terminal_only_full_data_projection	terminal_only_internal_projection	0.430807670449108	-0.278556640031532	678	77	0.00205406734504723
Platanista_terminal_branch	B281	B548	terminal_lineage	Single sampled Platanista branch; native B281 maps to old B548.	TRUE	marine_binary	marine_terminal_only_full_data_projection	terminal_only_internal_projection	0.99713780886215	5.85330152032488	678	77	0.00205406734504723
Inia_plus_Lipotes	B573	B558	internal_clade	Exact internal clade: Inia_geoffrensis plus Lipotes_vexillifer; native B573 maps to old B558.	TRUE	marine_binary	marine_terminal_only_full_data_projection	terminal_only_internal_projection	0.899631257619732	2.19313413770256	678	77	0.00205406734504723
Pinnipedia	B501	B410	internal_clade	Exact internal clade: sampled Pinnipedia; native B501 maps to old B410.	TRUE	marine_binary	marine_terminal_only_full_data_projection	terminal_only_internal_projection	0.00685862604477924	-4.97536588780004	678	77	0.00205406734504723
Phocidae	B500	B409	internal_clade	Exact internal clade: sampled Phocidae; native B500 maps to old B409.	TRUE	marine_binary	marine_terminal_only_full_data_projection	terminal_only_internal_projection	0.80267946919651	1.40312600120282	678	77	0.00205406734504723
Otarioidea	B493	B394	internal_clade	Exact internal clade: Odobenus plus sampled otariids; native B493 maps to old B394.	TRUE	marine_binary	marine_terminal_only_full_data_projection	terminal_only_internal_projection	0.0187671130954682	-3.9567037942618	678	77	0.00205406734504723
Otariidae	B492	B393	internal_clade	Exact internal clade: sampled Otariidae; native B492 maps to old B393.	TRUE	marine_binary	marine_terminal_only_full_data_projection	terminal_only_internal_projection	0.0370003409149321	-3.25912593126577	678	77	0.00205406734504723
Otariinae_sampled	B491	B392	internal_clade	Exact internal clade: Eumetopias plus Zalophus; native B491 maps to old B392.	TRUE	marine_binary	marine_terminal_only_full_data_projection	terminal_only_internal_projection	0.904133277622657	2.24401786221853	678	77	0.00205406734504723
Sirenia	B313	B26	internal_clade	Exact internal clade: sampled Sirenia; native B313 maps to old B26.	TRUE	marine_binary	marine_terminal_only_full_data_projection	terminal_only_internal_projection	0.00451025980265888	-5.39688005950418	678	77	0.00205406734504723
Dugong_plus_Hydrodamalis	B312	B25	internal_clade	Exact internal clade: Dugong_dugon plus Hydrodamalis_gigas; native B312 maps to old B25.	TRUE	marine_binary	marine_terminal_only_full_data_projection	terminal_only_internal_projection	0.000611918580361797	-7.39829921704794	678	77	0.00205406734504723
Trichechus_terminal_branch	B13	B22	terminal_lineage	Single sampled Trichechus branch; native B13 maps to old B22.	TRUE	marine_binary	marine_terminal_only_full_data_projection	terminal_only_internal_projection	0.935682463649649	2.67744384955591	678	77	0.00205406734504723
Ursus_arctos_plus_Ursus_maritimus	B470	B349	internal_clade	Exact internal clade: sampled brown bear plus polar bear; native B470 maps to old B349.	TRUE	marine_binary	marine_terminal_only_full_data_projection	terminal_only_internal_projection	0.200392190671842	-1.38384496937399	678	77	0.00205406734504723
Lutrinae_sampled	B483	B380	internal_clade	Exact internal clade: sampled Pteronura/Lontra/Enhydra/Aonyx/Lutra; native B483 maps to old B380.	TRUE	marine_binary	marine_terminal_only_full_data_projection	terminal_only_internal_projection	0.00111888432003118	-6.79430372224604	678	77	0.00205406734504723
Enhydra_terminal_branch	B197	B374	terminal_lineage	Single sampled sea otter branch; native B197 maps to old B374.	TRUE	marine_binary	marine_terminal_only_full_data_projection	terminal_only_internal_projection	0.87044005886218	1.90485525857226	678	77	0.00205406734504723
common_ancestor_Cetacea_plus_Hippopotamus	B593	B593	internal_clade	Exact internal clade: Hippopotamus_amphibius plus sampled Cetacea; native B593 maps to old B593.	TRUE	binary_aquatic_dependence	binary_aquatic_dependence_terminal_only_full_data_projection	terminal_only_internal_projection	0.570935263007506	0.285668018836816	259	69	0.0110609362998195
crown_Cetacea	B592	B592	internal_clade	Exact internal clade: sampled crown Cetacea; native B592 maps to old B592.	TRUE	binary_aquatic_dependence	binary_aquatic_dependence_terminal_only_full_data_projection	terminal_only_internal_projection	0.870995141333694	1.90978633084253	259	69	0.0110609362998195
Mysticeti	B568	B544	internal_clade	Exact internal clade: sampled Mysticeti; native B568 maps to old B544.	TRUE	binary_aquatic_dependence	binary_aquatic_dependence_terminal_only_full_data_projection	terminal_only_internal_projection	0.942279922139369	2.79269730485281	259	69	0.0110609362998195
Odontoceti	B591	B591	internal_clade	Exact internal clade: sampled Odontoceti; native B591 maps to old B591.	TRUE	binary_aquatic_dependence	binary_aquatic_dependence_terminal_only_full_data_projection	terminal_only_internal_projection	0.655695346801624	0.644169385502498	259	69	0.0110609362998195
Platanista_terminal_branch	B281	B548	terminal_lineage	Single sampled Platanista branch; native B281 maps to old B548.	TRUE	binary_aquatic_dependence	binary_aquatic_dependence_terminal_only_full_data_projection	terminal_only_internal_projection	0.938485842478353	2.72500041872361	259	69	0.0110609362998195
Inia_plus_Lipotes	B573	B558	internal_clade	Exact internal clade: Inia_geoffrensis plus Lipotes_vexillifer; native B573 maps to old B558.	TRUE	binary_aquatic_dependence	binary_aquatic_dependence_terminal_only_full_data_projection	terminal_only_internal_projection	0.952908122285598	3.00741795159792	259	69	0.0110609362998195
Pinnipedia	B501	B410	internal_clade	Exact internal clade: sampled Pinnipedia; native B501 maps to old B410.	TRUE	binary_aquatic_dependence	binary_aquatic_dependence_terminal_only_full_data_projection	terminal_only_internal_projection	0.0444663021183566	-3.0675383837919	259	69	0.0110609362998195
Phocidae	B500	B409	internal_clade	Exact internal clade: sampled Phocidae; native B500 maps to old B409.	TRUE	binary_aquatic_dependence	binary_aquatic_dependence_terminal_only_full_data_projection	terminal_only_internal_projection	0.705908901895992	0.875596618186581	259	69	0.0110609362998195
Otarioidea	B493	B394	internal_clade	Exact internal clade: Odobenus plus sampled otariids; native B493 maps to old B394.	TRUE	binary_aquatic_dependence	binary_aquatic_dependence_terminal_only_full_data_projection	terminal_only_internal_projection	0.232820489343788	-1.19245309193058	259	69	0.0110609362998195
Otariidae	B492	B393	internal_clade	Exact internal clade: sampled Otariidae; native B492 maps to old B393.	TRUE	binary_aquatic_dependence	binary_aquatic_dependence_terminal_only_full_data_projection	terminal_only_internal_projection	0.097771526765442	-2.22223438697306	259	69	0.0110609362998195
Otariinae_sampled	B491	B392	internal_clade	Exact internal clade: Eumetopias plus Zalophus; native B491 maps to old B392.	TRUE	binary_aquatic_dependence	binary_aquatic_dependence_terminal_only_full_data_projection	terminal_only_internal_projection	0.796193635404995	1.36267206690699	259	69	0.0110609362998195
Sirenia	B313	B26	internal_clade	Exact internal clade: sampled Sirenia; native B313 maps to old B26.	TRUE	binary_aquatic_dependence	binary_aquatic_dependence_terminal_only_full_data_projection	terminal_only_internal_projection	0.240386348235891	-1.15056253773896	259	69	0.0110609362998195
Dugong_plus_Hydrodamalis	B312	B25	internal_clade	Exact internal clade: Dugong_dugon plus Hydrodamalis_gigas; native B312 maps to old B25.	TRUE	binary_aquatic_dependence	binary_aquatic_dependence_terminal_only_full_data_projection	terminal_only_internal_projection	0.173031539352338	-1.56429267095532	259	69	0.0110609362998195
Trichechus_terminal_branch	B13	B22	terminal_lineage	Single sampled Trichechus branch; native B13 maps to old B22.	TRUE	binary_aquatic_dependence	binary_aquatic_dependence_terminal_only_full_data_projection	terminal_only_internal_projection	0.828322278668706	1.57378329807507	259	69	0.0110609362998195
Ursus_arctos_plus_Ursus_maritimus	B470	B349	internal_clade	Exact internal clade: sampled brown bear plus polar bear; native B470 maps to old B349.	TRUE	binary_aquatic_dependence	binary_aquatic_dependence_terminal_only_full_data_projection	terminal_only_internal_projection	0.244316525608527	-1.12915798312933	259	69	0.0110609362998195
Lutrinae_sampled	B483	B380	internal_clade	Exact internal clade: sampled Pteronura/Lontra/Enhydra/Aonyx/Lutra; native B483 maps to old B380.	TRUE	binary_aquatic_dependence	binary_aquatic_dependence_terminal_only_full_data_projection	terminal_only_internal_projection	0.223346370670437	-1.24627067333043	259	69	0.0110609362998195
Enhydra_terminal_branch	B197	B374	terminal_lineage	Single sampled sea otter branch; native B197 maps to old B374.	TRUE	binary_aquatic_dependence	binary_aquatic_dependence_terminal_only_full_data_projection	terminal_only_internal_projection	0.573808700983412	0.297407763026473	259	69	0.0110609362998195
