record_type	component	value	species_id	common_name_paper	curated_trait_category	aquaticity_score_sum_0_18	PC1	PC2	dimension	label	PC1_loading	PC2_loading	arrow_x	arrow_y
variance_explained	PC1	0.96973798717361												
variance_explained	PC2	0.0224103372444321												
variance_explained	PC3	0.00405976752139007												
variance_explained	PC4	0.00309592028044106												
variance_explained	PC5	0.000695987780126951												
correlation	PC1_vs_total	0.999917675728162												
R_squared	PC1_vs_total	0.999835358233609												
lm_intercept	PC1_vs_total	3.36092715231789												
lm_slope	PC1_vs_total	2.94589302690129												
category_count	terrestrial	226												
category_count	semi-aquatic	13												
category_count	non-marine aquatic	12												
category_count	marine	51												
dimension_loading									score_foraging_medium_0_3	Foraging medium	0.444188241622205	-0.562150972571097	0.393230267320496	-0.497660128082865
dimension_loading									score_locomotion_escape_0_3	Locomotion / escape	0.448503099827359	-0.414593272638519	0.397050118200082	-0.367030479765798
dimension_loading									score_reproduction_nursery_0_3	Reproduction / nursery	0.442610558810916	0.621996031831376	0.391833578764841	0.550639667939181
dimension_loading									score_morphophysiology_0_5	Morpho-physiological specialization	0.448041470862666	0.353841286523762	0.396641448036897	0.313248057131396
dimension_loading									score_time_budget_0_4	Aquatic time budget	0.452654955861671	0.00399783159772667	0.400725666774458	0.00353919406361385
species_scores			Balaena_mysticetus	Bowhead whale	marine	18	4.95584824973746	0.389171130366785						
species_scores			Balaenoptera_acutorostrata_scammoni	Minke whale	marine	18	4.95584824973746	0.389171130366785						
species_scores			Balaenoptera_bonaerensis	Antarctic minke whale	marine	18	4.95584824973746	0.389171130366785						
species_scores			Balaenoptera_edeni	Pygmy Bryde's whale	marine	18	4.95584824973746	0.389171130366785						
species_scores			Balaenoptera_musculus	Blue whale	marine	18	4.95584824973746	0.389171130366785						
species_scores			Cephalorhynchus_commersonii	Commerson's dolphin	marine	18	4.95584824973746	0.389171130366785						
species_scores			Delphinapterus_leucas	Beluga whale	marine	18	4.95584824973746	0.389171130366785						
species_scores			Dugong_dugon	Dugong	marine	18	4.95584824973746	0.389171130366785						
species_scores			Eschrichtius_robustus	Grey whale	marine	18	4.95584824973746	0.389171130366785						
species_scores			Eubalaena_australis	Southern right whale	marine	18	4.95584824973746	0.389171130366785						
species_scores			Eubalaena_glacialis	North Atlantic right whale	marine	18	4.95584824973746	0.389171130366785						
species_scores			Eubalaena_japonica	North Pacific right whale	marine	18	4.95584824973746	0.389171130366785						
species_scores			Globicephala_melas	Long-finned pilot whale	marine	18	4.95584824973746	0.389171130366785						
species_scores			Grampus_griseus	Risso's dolphin	marine	18	4.95584824973746	0.389171130366785						
species_scores			Hydrodamalis_gigas	Steller's sea cow	marine	18	4.95584824973746	0.389171130366785						
species_scores			Inia_geoffrensis	Boutu	marine	18	4.95584824973746	0.389171130366785						
species_scores			Kogia_breviceps	Pygmy sperm whale	marine	18	4.95584824973746	0.389171130366785						
species_scores			Lagenorhynchus_obliquidens	Pacific white-sided dolphin	marine	18	4.95584824973746	0.389171130366785						
species_scores			Lipotes_vexillifer	Yangtze River dolphin	marine	18	4.95584824973746	0.389171130366785						
species_scores			Megaptera_novaeangliae	Humpback whale	marine	18	4.95584824973746	0.389171130366785						
species_scores			Mesoplodon_bidens	Sowerby's beaked whale	marine	18	4.95584824973746	0.389171130366785						
species_scores			Mesoplodon_densirostris	Blainville's beaked whale	marine	18	4.95584824973746	0.389171130366785						
species_scores			Mesoplodon_europaeus	Gervais' beaked whale	marine	18	4.95584824973746	0.389171130366785						
species_scores			Mesoplodon_stejnegeri	Stejneger's beaked whale	marine	18	4.95584824973746	0.389171130366785						
species_scores			Monodon_monoceros	Narwhal	marine	18	4.95584824973746	0.389171130366785						
species_scores			Neophocaena_asiaeorientalis_asiaeorientalis	Yangtze finless porpoise	marine	18	4.95584824973746	0.389171130366785						
species_scores			Orcinus_orca	Killer whale	marine	18	4.95584824973746	0.389171130366785						
species_scores			Peponocephala_electra	Melon-headed whale	marine	18	4.95584824973746	0.389171130366785						
species_scores			Phocoena_phocoena	Harbor porpoise	marine	18	4.95584824973746	0.389171130366785						
species_scores			Phocoena_sinus	Vaquita	marine	18	4.95584824973746	0.389171130366785						
species_scores			Physeter_catodon	Sperm whale	marine	18	4.95584824973746	0.389171130366785						
species_scores			Platanista_minor	Indus River dolphin	marine	18	4.95584824973746	0.389171130366785						
species_scores			Sousa_chinensis	Indo-pacific humpbacked dolphin	marine	18	4.95584824973746	0.389171130366785						
species_scores			Steno_bredanensis	Rough-toothed dolphin	marine	18	4.95584824973746	0.389171130366785						
species_scores			Trichechus_manatus_latirostris	Florida manatee	marine	18	4.95584824973746	0.389171130366785						
species_scores			Tursiops_aduncus	Indo-pacific bottlenose dolphin	marine	18	4.95584824973746	0.389171130366785						
species_scores			Tursiops_truncatus	Common bottlenose dolphin	marine	18	4.95584824973746	0.389171130366785						
species_scores			Enhydra_lutris_kenyoni	Sea otter	marine	13	3.27571845704528	-1.21923595182622						
species_scores			Erignathus_barbatus	Bearded seal	marine	15	3.95736552461046	-0.416431551053584						
species_scores			Halichoerus_grypus	Gray seal	marine	15	3.95736552461046	-0.416431551053584						
species_scores			Leptonychotes_weddellii	Weddell seal	marine	15	3.95736552461046	-0.416431551053584						
species_scores			Mirounga_angustirostris	Northern elephant seal	marine	15	3.95736552461046	-0.416431551053584						
species_scores			Mirounga_leonina	Southern elephant seal	marine	15	3.95736552461046	-0.416431551053584						
species_scores			Neomonachus_schauinslandi	Hawaiian monk seal	marine	15	3.95736552461046	-0.416431551053584						
species_scores			Phoca_largha	Spotted seal	marine	15	3.95736552461046	-0.416431551053584						
species_scores			Phoca_vitulina	Harbor seal	marine	15	3.95736552461046	-0.416431551053584						
species_scores			Odobenus_rosmarus_divergens	Pacific walrus	marine	14	3.52770460251137	-1.02022959260191						
species_scores			Callorhinus_ursinus	Northern fur seal	marine	14	3.52770460251137	-1.02022959260191						
species_scores			Castor_canadensis	American beaver	non-marine aquatic	14	3.56852888059077	-0.0569935520119836						
species_scores			Eumetopias_jubatus	Steller sea lion	marine	14	3.52770460251137	-1.02022959260191						
species_scores			Pteronura_brasiliensis	Giant otter	non-marine aquatic	12	3.02373231157919	-1.41824231105053						
species_scores			Zalophus_californianus	California sea lion	marine	14	3.52770460251137	-1.02022959260191						
species_scores			Hippopotamus_amphibius	Hippopotamus	non-marine aquatic	11	2.69178355691194	0.0167638109388794						
species_scores			Aonyx_cinereus	Asian small-clawed otter	non-marine aquatic	10	2.31806000999767	-1.06160259265667						
species_scores			Lontra_canadensis	Northern American river otter	non-marine aquatic	10	2.31806000999767	-1.06160259265667						
species_scores			Lutra_lutra	Eurasian river otter	non-marine aquatic	10	2.31806000999767	-1.06160259265667						
species_scores			Ondatra_zibethicus	Muskrat	non-marine aquatic	10	2.49573478663066	-0.656810910332653						
species_scores			Neovison_vison	American mink	non-marine aquatic	9	2.06607386453158	-1.26060895188098						
species_scores			Hydrochoerus_hydrochaeris	Capybara	non-marine aquatic	8	1.69330083178494	-0.78883887048149						
species_scores			Kobus_leche_leche	Lechwe	non-marine aquatic	8	1.69330083178494	-0.78883887048149						
species_scores			Myocastor_coypus	Nutria	non-marine aquatic	8	1.69330083178494	-0.78883887048149						
species_scores			Arvicola_amphibius	Eurasian water vole	non-marine aquatic	7	1.26363990968585	-1.39263691202981						
species_scores			Ursus_maritimus	Polar bear	marine	7	1.19879039759011	-1.19642883345323						
species_scores			Alces_alces	Eurasian elk	semi-aquatic	4	0.305981462638241	-1.23500355286026						
species_scores			Elaphurus_davidianus	Pere David's deer	semi-aquatic	4	0.305981462638241	-1.23500355286026						
species_scores			Hydropotes_inermis	Chinese water deer	semi-aquatic	3	-0.0667915701084037	-0.76323347146077						
species_scores			Kobus_ellipsiprymnus	Waterbuck	semi-aquatic	3	-0.0667915701084037	-0.76323347146077						
species_scores			Tapirus_indicus	Asiatic tapir	semi-aquatic	3	-0.0667915701084037	-0.76323347146077						
species_scores			Tapirus_terrestris	Brazilian tapir	semi-aquatic	3	-0.0667915701084037	-0.76323347146077						
species_scores			Babyrousa_celebensis	North Sulawesi babirusa	semi-aquatic	2	-0.383627227670235	-0.766031752108501						
species_scores			Bubalus_bubalis	Asian water buffalo	semi-aquatic	2	-0.439564602855048	-0.291463390061281						
species_scores			Elephas_maximus	Asiatic elephant	semi-aquatic	2	-0.439564602855048	-0.291463390061281						
species_scores			Loxodonta_africana	African savanna elephant	semi-aquatic	2	-0.439564602855048	-0.291463390061281						
species_scores			Syncerus_caffer	African water buffalo	semi-aquatic	2	-0.439564602855048	-0.291463390061281						
species_scores			Acinonyx_jubatus	Cheetah	terrestrial	0	-1.14523690443657	0.0651763283325886						
species_scores			Acomys_russatus	Golden spiny mouse	terrestrial	0	-1.14523690443657	0.0651763283325886						
