species_id	common_name_paper	sampled_scientific_name	score_foraging_medium_0_3	score_locomotion_escape_0_3	score_reproduction_nursery_0_3	score_morphophysiology_0_5	score_time_budget_0_4	aquaticity_score_sum_0_18	comments_ty_nk	aquatic_v2_status	score_status	score_confidence	aquaticity_reason	aquaticity_citation_or_url	trait_marine_binary	marine_trait_state	marine_membership_source	score_source	aquatic_trait_source	aquatic_scoring_scheme	aquatic_score_range
Balaena_mysticetus	Bowhead whale	Balaena mysticetus	3	3	3	5	4	18			marine_obligate_draft	High	ADW describes bowhead with aquatic biomes (coastal), habitat regions (polar, saltwater or marine), supporting mixed freshwater and marine/coastal habitat use.	https://animaldiversity.org/accounts/Balaena_mysticetus/	1	marine	Berta_2015_and_SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Balaenoptera_acutorostrata_scammoni	Minke whale	Balaenoptera acutorostrata scammoni	3	3	3	5	4	18			marine_obligate_draft	High	"Fallback ADW account Balaenoptera_acutorostrata describes common minke whale with aquatic biomes (coastal), habitat text states 'Although not considered ""coastal"", these baleen whales rarely venture farther than 169 km from land', supporting mixed freshwater and marine/coastal habitat use."	https://animaldiversity.org/accounts/Balaenoptera_acutorostrata/	1	marine	Berta_2015_and_SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Balaenoptera_bonaerensis	Antarctic minke whale	Balaenoptera bonaerensis	3	3	3	5	4	18			marine_obligate_draft	High	ADW describes Antarctic minke whale with aquatic biomes (pelagic, coastal), habitat regions (temperate, tropical, polar, saltwater or marine), supporting mixed freshwater and marine/coastal habitat use.	https://animaldiversity.org/accounts/Balaenoptera_bonaerensis/	1	marine	Berta_2015_and_SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Balaenoptera_edeni	Pygmy Bryde's whale	Balaenoptera edeni	3	3	3	5	4	18			marine_obligate_draft	High	ADW describes Bryde's whale with aquatic biomes (pelagic, coastal), habitat regions (tropical, saltwater or marine), supporting mixed freshwater and marine/coastal habitat use.	https://animaldiversity.org/accounts/Balaenoptera_edeni/	1	marine	Berta_2015_and_SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Balaenoptera_musculus	Blue whale	Balaenoptera musculus	3	3	3	5	4	18			marine_obligate_draft	High	ADW describes blue whale with aquatic biomes (pelagic), habitat regions (temperate, tropical, polar, saltwater or marine), supporting mixed freshwater and marine/coastal habitat use.	https://animaldiversity.org/accounts/Balaenoptera_musculus/	1	marine	Berta_2015_and_SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Cephalorhynchus_commersonii	Commerson's dolphin	Cephalorhynchus commersonii	3	3	3	5	4	18			marine_obligate_draft	High	ADW describes Commerson's dolphin with aquatic biomes (pelagic, benthic, rivers and streams, coastal), habitat regions (temperate, saltwater or marine, freshwater), supporting mixed freshwater and marine/coastal habitat use.	https://animaldiversity.org/accounts/Cephalorhynchus_commersonii/	1	marine	Berta_2015_and_SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Delphinapterus_leucas	Beluga whale	Delphinapterus leucas	3	3	3	5	4	18			marine_obligate_draft	High	ADW describes beluga with aquatic biomes (pelagic, brackish water), other habitat features (estuarine), habitat regions (polar, saltwater or marine), supporting mixed freshwater and marine/coastal habitat use.	https://animaldiversity.org/accounts/Delphinapterus_leucas/	1	marine	Berta_2015_and_SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Dugong_dugon	Dugong	Dugong dugon	3	3	3	5	4	18			marine_obligate_draft	High	ADW describes dugong with aquatic biomes (coastal), other habitat features (estuarine), habitat regions (tropical, saltwater or marine), supporting mixed freshwater and marine/coastal habitat use.	https://animaldiversity.org/accounts/Dugong_dugon/	1	marine	Berta_2015_and_SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Eschrichtius_robustus	Grey whale	Eschrichtius robustus	3	3	3	5	4	18			marine_obligate_draft	High	ADW describes gray whale with aquatic biomes (benthic, coastal), habitat regions (temperate, tropical, polar, saltwater or marine), supporting mixed freshwater and marine/coastal habitat use.	https://animaldiversity.org/accounts/Eschrichtius_robustus/	1	marine	Berta_2015_and_SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Eubalaena_australis	Southern right whale	Eubalaena australis	3	3	3	5	4	18			marine_obligate_draft	High	ADW describes southern right whale with aquatic biomes (coastal), habitat text states 'While avoiding warm equatorial regions, southern right whales remain near continents and island masses.', supporting mixed freshwater and marine/coastal habitat use.	https://animaldiversity.org/accounts/Eubalaena_australis/	1	marine	Berta_2015_and_SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
