gene	tvalue	pvalue	mean1	mean2	marine	non_marine	FDR_BH	neg_log10_FDR	significant	direction	label_gene
SCN11A	11.2718093832169	3.89171990174836e-24	57.9915958496697	31.7080624455075	111	456	6.731897086044312e-20	19.171862531927452	True	aquatic-slow	SCN11A
CATSPERG	9.53015094131885	9.202937938716341e-19	58.8457273392923	34.1544058951511	113	446	7.959621023195763e-15	14.099107609580546	True	aquatic-slow	CATSPERG
SLC44A5	9.29083748402614	7.59433849035822e-18	55.6271521546809	28.3336339488247	111	447	4.3788955735405495e-14	13.358635411596152	True	aquatic-slow	SLC44A5
SLCO6A1	8.89746842503449	6.954365846589521e-17	56.4825495651694	30.9406879678528	107	432	3.0074155103576384e-13	12.521806564786415	True	aquatic-slow	SLCO6A1
NSD1	8.31310673845403	4.26672514492056e-15	57.409753660676	34.2970715714845	110	448	1.476116231136717e-11	10.830879444305742	True	aquatic-slow	NSD1
CATSPERZ	8.25117717753077	5.41998171133117e-15	56.7916566410531	27.0737704118493	111	443	1.5625807273767762e-11	10.80615753651277	True	aquatic-slow	CATSPERZ
SLC9C2	8.29220833020652	8.05502717210753e-15	57.6072457454136	34.7887119332368	111	445	1.990512286044515e-11	10.701035137474573	True	aquatic-slow	SLC9C2
TADA2B	8.00453676518272	1.70924599479535e-14	66.8276328565527	28.0503583921391	104	436	3.6958171522462453e-11	10.432289523310919	True	aquatic-slow	TADA2B
SLCO1B1	7.87488996859162	4.056196602878e-14	56.1705340419666	28.999678673136	105	436	7.796009870731516e-11	10.108127619682493	True	aquatic-slow	SLCO1B1
TFPI	7.76370737461625	9.7103228242319e-14	64.7027653403386	30.2414133695321	111	444	1.679691642135634e-10	9.774770438756601	True	aquatic-slow	TFPI
MAN2A1	7.6901102430471	2.88279219945827e-13	64.7513304820422	39.8800828329719	105	442	4.282018371946639e-10	9.368351473702504	True	aquatic-slow	
WDR76	7.85847662521909	2.97052956777429e-13	58.2402831394082	33.2564629255846	110	457	4.282018371946639e-10	9.368351473702504	True	aquatic-slow	
CDKN1C	7.61889245699159	3.41014600573379e-13	69.7375299339098	19.9620515105045	85	353	4.5375927390140847e-10	9.343174485783821	True	aquatic-slow	
TTC28	7.54537215650367	7.80273079569321e-13	62.6161502034619	42.4127695741046	104	448	9.64083123599294e-10	9.015885519453848	True	aquatic-slow	
MEFV	7.59796880783484	8.86178891272216e-13	75.5396227420539	43.2536122634336	102	380	1.0219414974151195e-09	8.990573965333418	True	aquatic-slow	
COMMD4	7.2671776786255	1.69011770670802e-12	70.450197360979	30.5558663072072	114	442	1.827228505664708e-09	8.738207138173564	True	aquatic-slow	
ADCY10	7.31863825632745	1.8066725649093298e-12	62.8741189496941	38.1828470571576	108	442	1.838342472223623e-09	8.735573578944491	True	aquatic-slow	
LRRC63	7.39184750850003	2.33465032150558e-12	58.034518287645	35.4416035264768	109	440	2.1649773056590996e-09	8.6645466517719	True	aquatic-slow	
CATSPERB	7.36331617637756	2.37799565311151e-12	55.4048380485367	34.9162614107083	111	450	2.1649773056590996e-09	8.6645466517719	True	aquatic-slow	
ADAM29	7.26200802835031	3.1750153973666197e-12	62.1384669341844	31.893716286056	95	327	2.7460708171823897e-09	8.561288267130232	True	aquatic-slow	
ZBTB45	7.22258131005438	3.994694564314199e-12	50.8096733919125	25.8735079835026	96	376	3.2904869796908103e-09	8.482739823344344	True	aquatic-slow	
TET1	7.08977024007015	5.2860603246057e-12	58.2609522000011	33.9615498124865	106	446	4.156285067955882e-09	8.38129467305075	True	aquatic-slow	
MROH9	7.2108177672485	7.116482764138169e-12	61.2246584029195	37.3148042713318	108	438	5.352213863220089e-09	8.271466541398548	True	aquatic-slow	
CYP17A1	7.10773140739933	8.81808891393978e-12	59.5408384202324	34.5069742369675	114	441	6.355637584722097e-09	8.196840875379511	True	aquatic-slow	
DCAF1	6.99576394585201	1.1973120540939e-11	63.4148191738051	34.9204477962567	111	450	8.284441564686513e-09	8.081736761058647	True	aquatic-slow	
NRG4	7.08601776229184	1.3121259573742199e-11	68.9951391644451	25.2276713287158	97	373	8.729674927176637e-09	8.059001928111375	True	aquatic-slow	
URI1	7.05518989052929	1.4895044582579002e-11	58.2733825485725	31.8087475347249	110	454	9.54275856257228e-09	8.02032606394087	True	aquatic-slow	
CD80	6.96664073116514	2.96653395737588e-11	55.312129264414	29.8063564368762	110	450	1.8326822998102847e-08	7.736912814578318	True	aquatic-slow	
CATSPERE	6.9349865390754	4.8296908112475596e-11	59.3294030378087	31.4908267990989	106	427	2.880827298377941e-08	7.54048277629425	True	aquatic-slow	
PIEZO1	-7.15738949536055	5.7947243208891e-11	63.7385652162008	93.8488364162343	107	445	3.341238043424655e-08	7.4760925823495805	True	aquatic-fast	PIEZO1
WDR93	6.90601046307748	6.6128578288521e-11	59.2028849816729	39.1487350644086	109	452	3.6899746684994715e-08	7.43297661524166	True	aquatic-slow	
WDR88	6.80687775704913	7.69388519455237e-11	66.2700604084334	37.7245970273457	108	439	4.159025815480215e-08	7.381008383918354	True	aquatic-slow	
WDFY3	6.77705842483644	8.348346192773069e-11	59.3895451325636	42.7960495199717	111	460	4.3760512861390474e-08	7.35891759683078	True	aquatic-slow	
SLC5A5	6.76444783639364	1.30205660947285e-10	65.3571627311005	41.8653269169888	113	448	6.624404479606283e-08	7.178853157820696	True	aquatic-slow	
SLC26A8	6.64873271380499	1.9652988702552401e-10	57.3041576253299	39.4683739214477	106	455	9.713068530764327e-08	7.012643547079321	True	aquatic-slow	
MYH13	-7.35567026372904	2.37422229042004e-10	62.1718590026991	175.231821988983	72	436	1.1135105906103017e-07	6.953305648031163	True	aquatic-fast	MYH13
MAST3	6.6485837117985	2.39042381409331e-10	63.000225601337	42.31701587847	110	433	1.1135105906103017e-07	6.953305648031163	True	aquatic-slow	
BCL2A1	6.56589337871215	2.45712523356434e-10	61.6506958893903	30.1245911130932	108	441	1.1135105906103017e-07	6.953305648031163	True	aquatic-slow	
CR2	6.70593541050561	2.5105164200371004e-10	60.5140915204986	40.9980970957707	111	439	1.1135105906103017e-07	6.953305648031163	True	aquatic-slow	
TGM3	-6.87724239677967	2.99406893899348e-10	59.9865920505679	107.094194528219	108	457	1.2947851126677304e-07	6.887802302722835	True	aquatic-fast	TGM3
FANCM	6.63286763426853	3.23992586740232e-10	59.730846244511	42.8883240587388	110	451	1.366932625715252e-07	6.864252890700047	True	aquatic-slow	
ERAS	6.57499256603551	3.68998441973341e-10	57.6544348891541	26.227018043661	112	419	1.5197464402987743e-07	6.818228865190049	True	aquatic-slow	
SERTM1	6.43410943423581	4.83182573705182e-10	54.3887713371103	20.00081425209	111	445	1.9437423627795902e-07	6.711361300026102	True	aquatic-slow	
ADAM20	6.38411362419859	5.46629059084735e-10	105.890781454531	59.861389416423	100	266	2.148997605465397e-07	6.667764068423747	True	aquatic-slow	
CENPC	6.59373080470087	5.86154103267318e-10	56.7964344144811	36.0236971429974	104	448	2.25317637295957e-07	6.647204811469654	True	aquatic-slow	
CCRL2	6.50257022837361	5.99210517329181e-10	59.9265029645341	37.0555270408414	111	446	2.2532920714696027e-07	6.647182511424685	True	aquatic-slow	
RHOA	6.3854199984472	6.33613183897382e-10	59.5563459613417	20.1952784429879	111	423	2.3319661393738115e-07	6.63227775991211	True	aquatic-slow	
TCL1A	6.43376294869064	6.493450475233801e-10	67.3903455882809	28.1204012784987	111	450	2.3400772150123808e-07	6.630769812034074	True	aquatic-slow	
AHCTF1	6.39230470983647	6.940290069994601e-10	59.0120499467605	41.9535351358296	110	451	2.450064033280951e-07	6.610822565048868	True	aquatic-slow	
UBR2	6.45090917820817	7.39429755404306e-10	50.5934963672837	34.0350657600499	111	447	2.5145877193009347e-07	6.599533209777048	True	aquatic-slow	
MSN	6.5149394526009	7.413803542857421e-10	60.9027952927572	32.1084992239949	107	436	2.5145877193009347e-07	6.599533209777048	True	aquatic-slow	
ATP2B4	6.39597423895616	7.67385243388867e-10	62.6042731220986	42.2979271540901	110	436	2.5527365269501197e-07	6.592994007286036	True	aquatic-slow	
IL12RB1	6.36945057588592	8.567662523281441e-10	61.2732179493737	42.9028635765234	109	425	2.781468358161048e-07	6.555725876206424	True	aquatic-slow	
FBXL2	6.40315927072298	8.68304378198038e-10	53.9860087814042	29.3048387328681	111	453	2.781468358161048e-07	6.555725876206424	True	aquatic-slow	
SLC6A15	6.44486151762002	1.15452746579554e-09	60.9850958938719	36.9154480895826	107	433	3.631093836969319e-07	6.439962527635886	True	aquatic-slow	
ANO2	-6.58015916315974	1.2250968980028902e-09	60.36576083647	97.754770600794	110	457	3.784236811009642e-07	6.422021694020583	True	aquatic-fast	ANO2
VSIG8	-6.61925296014206	1.2884143953873901e-09	59.9107158237857	179.097294567367	110	454	3.9099986335808903e-07	6.4078233943760985	True	aquatic-fast	VSIG8
ACOT13	6.29905269707622	1.3536312824218201e-09	72.6234836620348	36.6781665956339	111	447	4.037088607471146e-07	6.393931718433762	True	aquatic-slow	
ANKLE1	6.28515357294483	1.6546360281877501e-09	59.0205964751632	38.6378666514467	109	433	4.851168477218933e-07	6.314153642410434	True	aquatic-slow	
CLASP2	6.23968959105444	2.0093404384297303e-09	62.6069832300369	41.8326100239752	110	457	5.792928483992912e-07	6.237101833006029	True	aquatic-slow	
TSLP	6.25970909930842	2.1570200330853402e-09	55.0737239613651	27.6027143366931	110	443	6.116743038083643e-07	6.213479763655602	True	aquatic-slow	
RPS6KA5	6.13351065092332	2.72317830958801e-09	69.7438889395228	41.2995486511814	111	459	7.58893711452605e-07	6.119819045925376	True	aquatic-slow	
ZNF445	6.16251033469213	2.7896911476213603e-09	51.0249249565704	30.6845012833913	104	410	7.58893711452605e-07	6.119819045925376	True	aquatic-slow	
