"target_name","display_label","branch_id","native_branch_label","target_type","inclusion_set","branch_group","aquatic_n_predictors","aquatic_n_imputed_predictors","aquatic_profile_score","aquatic_logit","marine_n_predictors","marine_n_imputed_predictors","marine_profile_score","marine_logit","plot_order","figure6A_source_marine_probability","figure6A_source_aquatic_probability","figure6A_source_layer","abs_delta_marine_vs_figure6A_source","abs_delta_aquatic_vs_figure6A_source","figure6A_source_comparison_status"
"common_ancestor_Cetacea_plus_Hippopotamus","Cetacea + hippo ancestor","B593","B593","internal_clade","required","Cetacean axis",101,4,0.71203491005766,0.905287683879084,71,3,0.00642012869324354,-5.04187628944983,1,0.0067269490074164,0.570935263007506,"Task001 terminal-only internal branch projection; descriptive, not OOF validation",0.000306820314172864,0.141099647050154,"REVIEW_differs_current_Figure6A_source_due_to_71_101_architecture"
"crown_Cetacea","Crown Cetacea","B592","B592","internal_clade","required","Cetacean axis",101,4,0.877162333985557,1.96582838152481,71,4,0.408228629134192,-0.371292979445585,2,0.45689564246627,0.870995141333694,"Task001 terminal-only internal branch projection; descriptive, not OOF validation",0.0486670133320782,0.00616719265186261,"REVIEW_differs_current_Figure6A_source_due_to_71_101_architecture"
"Mysticeti","Mysticeti","B544","B568","internal_clade","optional","Cetacean axis",101,4,0.996740414313224,5.72289027191755,71,4,0.998211645768525,6.32466955056963,3,,,,,,"not_in_current_Figure6A_source"
"Odontoceti","Odontoceti","B591","B591","internal_clade","required","Cetacean axis",101,5,0.94234927094936,2.79397308902396,71,7,0.93046393538429,2.5938377836976,4,0.430807670449108,0.655695346801624,"Task001 terminal-only internal branch projection; descriptive, not OOF validation",0.499656264935182,0.286653924147735,"REVIEW_differs_current_Figure6A_source_due_to_71_101_architecture"
"Pinnipedia","Crown Pinnipedia","B410","B501","internal_clade","required","Pinniped axis",101,0,0.121942028788205,-1.97416685995739,71,2,0.0197948720201391,-3.90233894875139,5,0.0068586260447792,0.0444663021183566,"Task001 terminal-only internal branch projection; descriptive, not OOF validation",0.0129362459753599,0.0774757266698479,"REVIEW_differs_current_Figure6A_source_due_to_71_101_architecture"
"Phocidae","Phocidae","B409","B500","internal_clade","required","Pinniped axis",101,0,0.97633798916196,3.7199379829688,71,2,0.869850531997302,1.89963785072527,6,0.80267946919651,0.705908901895992,"Task001 terminal-only internal branch projection; descriptive, not OOF validation",0.0671710628007924,0.270429087265968,"REVIEW_differs_current_Figure6A_source_due_to_71_101_architecture"
"Otarioidea","Otarioidea","B394","B493","internal_clade","required","Pinniped axis",101,1,0.138623742194832,-1.82676803771315,71,3,0.0317754145273201,-3.4167712074555,7,0.0187671130954682,0.232820489343788,"Task001 terminal-only internal branch projection; descriptive, not OOF validation",0.0130083014318519,0.0941967471489556,"REVIEW_differs_current_Figure6A_source_due_to_71_101_architecture"
"Otariidae","Otariidae","B393","B492","internal_clade","required","Pinniped axis",101,3,0.107479372928064,-2.11675067553441,71,4,0.264015264648081,-1.02520245639138,8,0.0370003409149321,0.097771526765442,"Task001 terminal-only internal branch projection; descriptive, not OOF validation",0.227014923733149,0.00970784616262214,"REVIEW_differs_current_Figure6A_source_due_to_71_101_architecture"
"Otariinae_sampled","Otariinae","B392","B491","internal_clade","optional","Pinniped axis",101,2,0.338535733730337,-0.669826311135997,71,5,0.990843494313051,4.68409196414607,9,,,,,,"not_in_current_Figure6A_source"
"Sirenia","Sirenia","B26","B313","internal_clade","required","Sirenian / edge context",101,9,0.20386167282411,-1.36233125914973,71,7,0.0234760926452579,-3.72801666364514,10,0.0045102598026588,0.240386348235891,"Task001 terminal-only internal branch projection; descriptive, not OOF validation",0.0189658328425991,0.0365246754117807,"REVIEW_differs_current_Figure6A_source_due_to_71_101_architecture"
"Dugong_plus_Hydrodamalis","Dugong + Hydrodamalis","B25","B312","internal_clade","required","Sirenian / edge context",101,66,0.0277458040550319,-3.55653266519664,71,34,0.00202108474946746,-6.20209777712025,11,0.0006119185803617,0.173031539352338,"Task001 terminal-only internal branch projection; descriptive, not OOF validation",0.00140916616910576,0.145285735297306,"REVIEW_differs_current_Figure6A_source_due_to_71_101_architecture"
"Ursus_arctos_plus_Ursus_maritimus","Brown bear + polar bear","B349","B470","internal_clade","optional","Sirenian / edge context",101,12,0.000456398514609902,-7.69168769186507,71,9,0.0017164711187468,-6.36576682492943,12,,,,,,"not_in_current_Figure6A_source"
"Lutrinae_sampled","Lutrinae / Enhydra-related","B380","B483","internal_clade","optional","Sirenian / edge context",101,0,0.028537863524964,-3.52757054349019,71,1,0.00314781088208898,-5.75789525014659,13,,,,,,"not_in_current_Figure6A_source"
