"target_name","display_label","branch_id","model","gene","gene_order","module","predictor_class","coefficient","scaled_GBI","contribution","abs_contribution","top_abs_rank","top_set"
"Dugong_plus_Hydrodamalis","Dugong + Hydrodamalis","B25","binary_aquatic_dependence","PDGFB",5,"Vascular / hematologic regulation","aquatic_specific",-0.348561123284862,1.75550979038938,-0.611902464475696,0.611902464475696,1,"top_absolute"
"Dugong_plus_Hydrodamalis","Dugong + Hydrodamalis","B25","binary_aquatic_dependence","IL33",94,"Immune / inflammatory regulation","shared",0.340038935001018,-1.25231167496481,-0.425834728244375,0.425834728244375,2,"top_absolute"
"Dugong_plus_Hydrodamalis","Dugong + Hydrodamalis","B25","binary_aquatic_dependence","PER1",100,"Endocrine / circadian / systemic regulation","aquatic_specific",0.784004329488712,-0.494138411226618,-0.387406653768342,0.387406653768342,3,"top_absolute"
"Dugong_plus_Hydrodamalis","Dugong + Hydrodamalis","B25","binary_aquatic_dependence","NUBP2",13,"Metabolism / redox / lipid handling","shared",-0.239999172123246,-1.04889996203436,0.25173512252835,0.25173512252835,4,"top_absolute"
"Dugong_plus_Hydrodamalis","Dugong + Hydrodamalis","B25","binary_aquatic_dependence","C16orf91",9,"Unassigned / low-confidence","aquatic_specific",-0.262195862787636,-0.818490808536276,0.214604903727919,0.214604903727919,5,"top_absolute"
"Dugong_plus_Hydrodamalis","Dugong + Hydrodamalis","B25","binary_aquatic_dependence","PUSL1",6,"Metabolism / redox / lipid handling","shared",-0.314220898750119,-0.613394521599998,0.192741377865551,0.192741377865551,6,"top_absolute"
"Dugong_plus_Hydrodamalis","Dugong + Hydrodamalis","B25","binary_aquatic_dependence","CASTOR1",40,"Endocrine / circadian / systemic regulation","aquatic_specific",-0.0825057476543748,2.05005959172027,-0.169141699350903,0.169141699350903,7,"top_absolute"
"Dugong_plus_Hydrodamalis","Dugong + Hydrodamalis","B25","binary_aquatic_dependence","PRSS53",89,"Epithelial / body-surface interface","aquatic_specific",0.194083977905306,0.774771092961644,0.150370655688037,0.150370655688037,8,"top_absolute"
"Dugong_plus_Hydrodamalis","Dugong + Hydrodamalis","B25","binary_aquatic_dependence","HGFAC",10,"Vascular / hematologic regulation","shared",-0.251889764940469,0.536937454755236,-0.13524904926603,0.13524904926603,9,"top_absolute"
"Dugong_plus_Hydrodamalis","Dugong + Hydrodamalis","B25","binary_aquatic_dependence","FN3K",12,"Metabolism / redox / lipid handling","shared",-0.244837253974046,-0.546025659844614,0.133687423155722,0.133687423155722,10,"top_absolute"
"Dugong_plus_Hydrodamalis","Dugong + Hydrodamalis","B25","binary_aquatic_dependence","SDR9C7",91,"Epithelial / body-surface interface","shared",0.220181989308241,-0.529451635541802,-0.116575714356096,0.116575714356096,11,"top_absolute"
"Dugong_plus_Hydrodamalis","Dugong + Hydrodamalis","B25","binary_aquatic_dependence","CATSPERG",17,"Cilia / flagella / reproductive-cell function","aquatic_specific",-0.232264279338058,0.399035516084777,-0.0926816965737208,0.0926816965737208,12,"top_absolute"
"Dugong_plus_Hydrodamalis","Dugong + Hydrodamalis","B25","marine","TPX2",2,"DNA repair / chromatin / cell-cycle","marine_specific",-0.547364151458345,2.60533077025585,-1.42606466632941,1.42606466632941,1,"top_absolute"
"Dugong_plus_Hydrodamalis","Dugong + Hydrodamalis","B25","marine","EPOR",1,"Vascular / hematologic regulation","shared",-0.562386788005208,1.26649833692855,-0.712261931719188,0.712261931719188,2,"top_absolute"
"Dugong_plus_Hydrodamalis","Dugong + Hydrodamalis","B25","marine","IL33",59,"Immune / inflammatory regulation","shared",0.27044270721607,-1.25623647320033,-0.339739992715866,0.339739992715866,3,"top_absolute"
"Dugong_plus_Hydrodamalis","Dugong + Hydrodamalis","B25","marine","HOXD10",60,"Developmental / transcriptional signaling regulators","marine_specific",0.28020716230031,0.963959025392267,0.270108223078939,0.270108223078939,4,"top_absolute"
"Dugong_plus_Hydrodamalis","Dugong + Hydrodamalis","B25","marine","SDR9C7",68,"Epithelial / body-surface interface","shared",0.409389888665918,-0.526229367957119,-0.215432982360701,0.215432982360701,5,"top_absolute"
"Dugong_plus_Hydrodamalis","Dugong + Hydrodamalis","B25","marine","APH1B",14,"Membrane trafficking / ER / vesicle processing","marine_specific",-0.152260877432123,1.1544469310121,-0.175777102664723,0.175777102664723,6,"top_absolute"
"Dugong_plus_Hydrodamalis","Dugong + Hydrodamalis","B25","marine","HGFAC",3,"Vascular / hematologic regulation","shared",-0.314672853107267,0.53453366461062,-0.168203233324907,0.168203233324907,7,"top_absolute"
"Dugong_plus_Hydrodamalis","Dugong + Hydrodamalis","B25","marine","PUSL1",5,"Metabolism / redox / lipid handling","shared",-0.270477624990477,-0.616403178757511,0.166723267826912,0.166723267826912,8,"top_absolute"
"Dugong_plus_Hydrodamalis","Dugong + Hydrodamalis","B25","marine","ATG2A",20,"Membrane trafficking / ER / vesicle processing","marine_specific",-0.0892133442112914,-1.60705198039265,0.143370481492207,0.143370481492207,9,"top_absolute"
"Dugong_plus_Hydrodamalis","Dugong + Hydrodamalis","B25","marine","CATSPERZ",6,"Cilia / flagella / reproductive-cell function","shared",-0.264244206101874,-0.509322106478407,0.134585415676521,0.134585415676521,10,"top_absolute"
"Dugong_plus_Hydrodamalis","Dugong + Hydrodamalis","B25","marine","OMP",64,"Sensory systems","shared",0.345615697623917,-0.379325592931973,-0.13110087942779,0.13110087942779,11,"top_absolute"
"Dugong_plus_Hydrodamalis","Dugong + Hydrodamalis","B25","marine","FN3K",11,"Metabolism / redox / lipid handling","shared",-0.217860441354345,-0.548596921563606,0.119517567457482,0.119517567457482,12,"top_absolute"
"Lutrinae_sampled","Lutrinae / Enhydra-related","B380","binary_aquatic_dependence","PER1",100,"Endocrine / circadian / systemic regulation","aquatic_specific",0.784004329488712,1.23911585952592,0.971472198606451,0.971472198606451,1,"top_absolute"
