Sequence	MissingNumber
A1BG	42
A1CF	4
A2M	17
A2ML1	63
A3GALT2	60
A4GALT	31
A4GNT	12
AAAS	3
AACS	7
AADAC	232
AADACL3	40
AADAT	17
AAGAB	5
AAK1	27
AAMDC	14
AAMP	1
AANAT	45
AAR2	10
AARD	79
AARS1	2
AARS2	1
AARSD1	10
AASDH	11
AASDHPPT	5
AASS	6
AATF	1
AATK	37
ABAT	5
ABC7-42404400C24	56
ABCA1	23
ABCA10	218
ABCA12	7
ABCA2	36
ABCA3	8
ABCA4	7
ABCA5	5
ABCA6	29
ABCA7	62
ABCA8	124
ABCA9	73
ABCB1	26
ABCB10	5
ABCB11	3
ABCB4	24
ABCB5	31
ABCB6	0
ABCB7	9
ABCB8	4
ABCB9	5
ABCC1	36
ABCC10	4
ABCC11	95
ABCC12	67
ABCC2	12
ABCC3	23
ABCC5	6
ABCC6	27
ABCC8	6
ABCC9	3
ABCD1	12
ABCD2	8
ABCD3	6
ABCD4	6
ABCE1	1
ABCF1	10
ABCF2	3
ABCF3	0
ABCG1	8
ABCG4	1
ABCG5	7
ABCG8	11
ABHD1	78
ABHD10	5
ABHD11	2
ABHD12	3
ABHD12B	17
ABHD13	7
ABHD14A	8
ABHD14B	4
ABHD15	22
ABHD16A	2
ABHD16B	49
ABHD17A	8
ABHD17B	3
ABHD17C	92
ABHD18	4
ABHD2	3
ABHD3	8
ABHD4	3
ABHD5	1
ABHD6	9
ABHD8	17
ABI1	4
ABI2	3
ABI3	1
ABI3BP	10
ABITRAM	6
ABL1	6
ABL2	18
ABLIM1	6
ABLIM2	8
ABLIM3	5
ABO	229
ABR	6
ABRA	5
ABRACL	5
ABRAXAS1	5
ABRAXAS2	4
ABT1	7
ABTB1	21
ABTB2	4
AC001226	25
AC004067	22
AC005281	176
AC005787	25
AC007040	11
AC007326	21
AC007906	10
AC008397	104
AC009412	39
AC010973	11
AC022506	2
AC024558	338
AC037459	8
AC055839	42
AC068870	26
AC083977	4
AC084756	4
AC092442	11
AC092835	27
AC093323	224
AC093512	8
AC099569	4
AC114402	4
AC116366	15
AC118281	364
AC119676	0
AC138647	47
AC242628	5
ACAA1	8
ACAA2	7
ACACA	6
ACACB	9
ACAD10	64
ACAD11	13
ACAD8	5
ACAD9	32
ACADL	23
ACADM	5
ACADS	7
ACADSB	12
ACADVL	3
ACAP1	6
ACAP2	6
ACAP3	8
ACAT1	4
ACAT2	8
ACBD3	7
ACBD4	162
ACBD5	31
ACBD6	49
ACBD7	27
ACCS	8
ACCSL	69
ACD	8
ACE	1
ACE2	26
ACER1	8
ACER2	5
ACER3	37
ACHE	7
ACIN1	2
ACKR1	5
ACKR2	34
ACKR3	8
ACKR4	5
ACLY	4
ACMSD	12
ACO1	4
ACO2	2
ACOD1	12
ACOT1	94
ACOT11	8
ACOT12	19
ACOT13	5
ACOT2	129
ACOT4	50
ACOT6	25
ACOT7	9
ACOT8	3
ACOT9	5
ACOX1	3
ACOX2	1
ACOX3	14
ACOXL	123
ACP1	3
ACP2	1
ACP3	8
ACP4	21
ACP5	4
ACP6	13
ACP7	28
ACR	12
ACRBP	3
ACRV1	17
ACSBG1	10
ACSBG2	49
ACSF2	3
ACSF3	18
ACSL1	3
ACSL3	3
ACSL4	8
ACSL5	5
ACSL6	4
ACSM2A	86
ACSM2B	91
ACSM3	52
ACSM4	54
ACSM5	78
ACSM6	272
ACSS1	5
ACSS2	1
ACSS3	3
ACTA1	6
ACTA2	3
ACTB	25
ACTBL2	37
ACTC1	2
ACTG1	32
ACTG2	13
ACTL10	19
ACTL6A	7
ACTL6B	4
ACTL7A	8
ACTL7B	13
ACTL8	47
ACTL9	62
ACTN1	3
ACTN2	9
ACTN3	5
ACTN4	11
ACTR10	7
ACTR1A	1
ACTR1B	2
ACTR2	4
ACTR3	9
ACTR3B	15
ACTR3C	12
ACTR5	5
ACTR6	6
ACTR8	5
ACTRT1	146
ACTRT2	11
ACTRT3	9
ACVR1	3
ACVR1B	6
ACVR1C	6
ACVR2A	3
ACVR2B	5
ACVRL1	1
ACY1	2
ACY3	185
