Sequence	MissingNumber
A1BG	32
A1CF	2
A2M	12
A2ML1	47
A3GALT2	45
A4GALT	30
A4GNT	9
AAAS	2
AACS	6
AADAC	192
AADACL3	36
AADAT	12
AAGAB	4
AAK1	22
AAMDC	13
AAMP	0
AANAT	43
AAR2	8
AARD	62
AARS1	2
AARS2	1
AARSD1	10
AASDH	7
AASDHPPT	4
AASS	5
AATF	1
AATK	26
ABAT	5
ABC7-42404400C24	47
ABCA1	19
ABCA10	182
ABCA12	6
ABCA2	29
ABCA3	8
ABCA4	6
ABCA5	3
ABCA6	26
ABCA7	56
ABCA8	108
ABCA9	66
ABCB1	23
ABCB10	5
ABCB11	3
ABCB4	17
ABCB5	27
ABCB6	0
ABCB7	8
ABCB8	3
ABCB9	4
ABCC1	28
ABCC10	3
ABCC11	70
ABCC12	55
ABCC2	11
ABCC3	18
ABCC5	6
ABCC6	23
ABCC8	6
ABCC9	3
ABCD1	10
ABCD2	6
ABCD3	6
ABCD4	6
ABCE1	1
ABCF1	8
ABCF2	1
ABCF3	0
ABCG1	8
ABCG4	1
ABCG5	6
ABCG8	10
ABHD1	75
ABHD10	5
ABHD11	1
ABHD12	3
ABHD12B	15
ABHD13	6
ABHD14A	6
ABHD14B	4
ABHD15	15
ABHD16A	1
ABHD16B	41
ABHD17A	6
ABHD17B	3
ABHD17C	72
ABHD18	4
ABHD2	3
ABHD3	7
ABHD4	3
ABHD5	1
ABHD6	6
ABHD8	13
ABI1	1
ABI2	2
ABI3	1
ABI3BP	9
ABITRAM	6
ABL1	5
ABL2	12
ABLIM1	4
ABLIM2	6
ABLIM3	4
ABO	194
ABR	6
ABRA	3
ABRACL	5
ABRAXAS1	5
ABRAXAS2	4
ABT1	5
ABTB1	17
ABTB2	2
AC001226	19
AC004067	17
AC005281	139
AC005787	13
AC007040	9
AC007326	16
AC007906	7
AC008397	84
AC009412	30
AC010973	9
AC022506	1
AC024558	270
AC037459	7
AC055839	32
AC068870	19
AC083977	3
AC084756	3
AC092442	8
AC092835	18
AC093323	178
AC093512	6
AC099569	4
AC114402	4
AC116366	12
AC118281	291
AC119676	0
AC138647	33
AC242628	4
ACAA1	8
ACAA2	5
ACACA	4
ACACB	7
ACAD10	54
ACAD11	13
ACAD8	5
ACAD9	27
ACADL	16
ACADM	3
ACADS	4
ACADSB	8
ACADVL	2
ACAP1	5
ACAP2	6
ACAP3	4
ACAT1	4
ACAT2	5
ACBD3	6
ACBD4	124
ACBD5	25
ACBD6	40
ACBD7	24
ACCS	6
ACCSL	57
ACD	7
ACE	1
ACE2	20
ACER1	5
ACER2	2
ACER3	30
ACHE	5
ACIN1	1
ACKR1	4
ACKR2	27
ACKR3	7
ACKR4	4
ACLY	3
ACMSD	8
ACO1	3
ACO2	2
ACOD1	11
ACOT1	78
ACOT11	7
ACOT12	13
ACOT13	5
ACOT2	102
ACOT4	41
ACOT6	23
ACOT7	6
ACOT8	1
ACOT9	3
ACOX1	3
ACOX2	0
ACOX3	9
ACOXL	105
ACP1	2
ACP2	1
ACP3	7
ACP4	21
ACP5	3
ACP6	13
ACP7	26
ACR	11
ACRBP	3
ACRV1	16
ACSBG1	7
ACSBG2	34
ACSF2	3
ACSF3	12
ACSL1	3
ACSL3	3
ACSL4	7
ACSL5	4
ACSL6	3
ACSM2A	74
ACSM2B	79
ACSM3	47
ACSM4	49
ACSM5	66
ACSM6	219
ACSS1	3
ACSS2	1
ACSS3	3
ACTA1	6
ACTA2	2
ACTB	22
ACTBL2	35
ACTC1	1
ACTG1	20
ACTG2	11
ACTL10	17
ACTL6A	6
ACTL6B	4
ACTL7A	7
ACTL7B	8
ACTL8	31
ACTL9	54
ACTN1	2
ACTN2	8
ACTN3	4
ACTN4	9
ACTR10	6
ACTR1A	1
ACTR1B	2
ACTR2	3
ACTR3	7
ACTR3B	10
ACTR3C	10
ACTR5	5
ACTR6	5
ACTR8	5
ACTRT1	118
ACTRT2	9
ACTRT3	9
ACVR1	3
ACVR1B	5
ACVR1C	4
ACVR2A	2
ACVR2B	3
ACVRL1	0
ACY1	2
ACY3	158
ACYP1	6
ACYP2	209
ADA	5
ADA2	52
ADAD1	6
ADAD2	15
ADAL	4
ADAM10	6
ADAM11	2
ADAM12	6
ADAM15	1
ADAM17	4
ADAM19	2
ADAM2	17
ADAM20	95
ADAM21	79
ADAM22	15
ADAM23	1
ADAM28	4
ADAM29	57
ADAM30	117
ADAM32	22
ADAM33	1
ADAM7	23
ADAM8	3
ADAM9	26
ADAMDEC1	2
ADAMTS1	3
ADAMTS10	5
ADAMTS12	4
ADAMTS13	10
ADAMTS14	4
ADAMTS15	4
ADAMTS16	8
ADAMTS17	48
ADAMTS18	7
ADAMTS19	4
ADAMTS2	2
ADAMTS20	5
ADAMTS3	2
ADAMTS4	4
ADAMTS5	2
ADAMTS6	2
ADAMTS7	23
ADAMTS8	1
ADAMTS9	3
ADAMTSL1	2
ADAMTSL2	5
ADAMTSL3	12
ADAMTSL4	15
ADAMTSL5	9
ADAP1	14
ADAP2	3
ADAR	4
ADARB1	26
ADARB2	14
ADAT1	10
ADAT2	3
ADAT3	22
ADCK1	2
ADCK2	10
ADCK5	6
ADCY1	14
ADCY10	8
ADCY2	7
ADCY3	0
ADCY4	0
ADCY5	6
ADCY6	1
ADCY7	3
ADCY8	4
ADCY9	2
ADCYAP1	0
ADCYAP1R1	3
ADD1	10
ADD2	1
ADD3	3
ADGB	7
ADGRA1	151
ADGRA2	5
ADGRA3	4
ADGRB1	22
ADGRB2	2
ADGRB3	4
ADGRD1	9
ADGRE1	23
ADGRE3	47
ADGRF1	7
ADGRF2	41
ADGRF3	32
ADGRF4	31
ADGRF5	4
ADGRG1	5
ADGRG2	7
ADGRG3	1
ADGRG5	2
ADGRG6	7
ADGRG7	25
ADGRL1	3
ADGRL2	4
ADGRL3	2
ADGRL4	10
ADGRV1	6
ADH1A	21
ADH1C	25
ADH4	58
ADH5	9
ADH6	133
ADH7	162
ADHFE1	3
ADI1	22
ADIG	232
ADIPOQ	4
ADIPOR1	4
ADIPOR2	3
ADIRF	20
ADK	6
ADM	2
ADM2	10
ADM5	236
ADNP	5
ADNP2	8
ADO	7
ADORA1	3
ADORA2A	19
ADORA2B	6
ADORA3	3
ADPGK	13
ADPRH	2
ADPRM	2
ADPRS	2
ADRA1A	5
ADRA1B	4
ADRA1D	37
ADRA2A	35
ADRA2B	9
ADRA2C	78
ADRB1	43
ADRB2	2
ADRB3	29
ADRM1	4
ADSL	9
ADSS1	4
ADSS2	1
ADTRP	16
AEBP1	6
AEBP2	6
AEN	6
AF011889	19
AFAP1	8
AFAP1L1	3
AFAP1L2	2
AFDN	6
AFF1	3
AFF2	13
AFF3	4
AFF4	2
AFG1L	1
AFG3L2	6
AFM	22
AFMID	8
AFP	3
AFTPH	8
AGA	2
AGAP1	5
AGAP2	1
AGBL1	28
AGBL2	10
AGBL3	49
AGBL4	14
AGBL5	3
AGER	3
AGFG1	1
AGFG2	1
AGGF1	4
AGK	4
AGL	4
AGMAT	1
AGMO	23
AGO1	2
AGO2	4
AGO3	1
AGO4	7
AGPAT1	2
AGPAT2	8
AGPAT3	11
AGPAT4	5
AGPAT5	1
AGPS	26
AGR2	2
AGR3	84
AGRN	12
AGRP	1
AGT	8
AGTPBP1	6
AGTR1	4
AGTR2	21
AGTRAP	3
AGXT	6
AGXT2	7
AHCTF1	4
AHCY	7
AHCYL1	0
AHCYL2	5
AHDC1	32
AHI1	19
AHR	5
AHRR	20
AHSA1	0
AHSG	2
AHSP	6
AICDA	7
AIDA	11
AIF1	4
AIF1L	2
AIFM1	3
AIFM2	3
AIFM3	5
AIG1	5
AIM2	161
AIMP1	2
AIMP2	3
AIP	2
AIPL1	6
AIRE	6
AJAP1	15
AJM1	90
AJUBA	5
AK1	1
AK2	1
AK3	3
AK4	6
AK5	3
AK6	4
AK7	4
AK8	6
AK9	7
AKAIN1	3
AKAP1	8
AKAP10	8
AKAP11	9
AKAP14	10
AKAP17A	88
AKAP3	15
AKAP4	38
AKAP5	11
AKAP7	26
AKAP8	3
AKAP8L	3
AKAP9	31
AKIP1	3
AKIRIN1	4
AKIRIN2	2
AKNA	8
AKNAD1	56
AKR1A1	2
AKR1B1	7
AKR1D1	7
AKR1E2	99
AKT1	20
AKT1S1	8
AKT2	5
AKT3	5
AKTIP	1
AL022312	1
AL031178	3
AL034430	4
AL035699	8
AL162231	8
AL353579	12
AL359092	4
ALAD	0
ALAS1	1
ALAS2	4
ALB	2
ALCAM	5
ALDH16A1	9
ALDH18A1	2
ALDH1A1	17
ALDH1A2	4
ALDH1A3	3
ALDH1B1	96
ALDH1L1	17
ALDH1L2	4
ALDH2	3
ALDH3A1	26
ALDH3A2	5
ALDH3B1	17
ALDH3B2	53
ALDH4A1	3
ALDH5A1	6
ALDH6A1	4
ALDH7A1	9
ALDH8A1	8
ALDH9A1	4
ALDOA	4
ALDOB	3
ALDOC	1
ALG1	4
ALG10	8
ALG10B	9
ALG11	4
ALG12	10
ALG13	6
ALG14	2
ALG1L	6
ALG1L2	6
ALG2	3
ALG3	0
ALG5	3
ALG6	5
ALG8	17
ALG9	3
ALK	2
ALKAL1	26
ALKAL2	18
ALKBH1	5
ALKBH2	3
ALKBH3	2
ALKBH4	4
ALKBH5	25
ALKBH6	2
ALKBH7	5
ALKBH8	9
ALLC	50
ALOX12	9
ALOX12B	36
ALOX15	58
ALOX15B	45
ALOX5	1
ALOX5AP	12
ALOXE3	31
ALPK1	17
ALPK2	18
ALPK3	7
ALPL	2
ALS2	27
ALS2CL	1
ALX1	1
ALX3	1
ALX4	7
ALYREF	4
AMACR	2
AMBN	8
AMBP	1
AMBRA1	4
AMD1	12
AMDHD1	6
AMDHD2	11
AMELX	18
AMELY	19
AMER1	20
AMER2	68
AMER3	8
AMFR	5
AMH	35
AMHR2	4
AMIGO1	1
AMIGO2	11
AMIGO3	8
AMMECR1	9
AMMECR1L	10
AMN	30
AMN1	6
AMOT	6
AMOTL1	5
AMOTL2	3
AMPD1	2
AMPD2	1
AMPD3	4
AMPH	11
AMT	1
AMTN	1
AMZ1	30
AMZ2	6
ANAPC1	9
ANAPC10	6
ANAPC11	256
ANAPC13	5
ANAPC15	76
ANAPC16	3
ANAPC2	1
ANAPC4	6
ANAPC5	5
ANAPC7	1
ANG	41
ANGEL1	1
ANGEL2	1
ANGPT1	23
ANGPT2	1
ANGPT4	9
ANGPTL1	3
ANGPTL2	17
ANGPTL3	9
ANGPTL4	7
ANGPTL5	21
ANGPTL6	4
ANGPTL7	1
ANGPTL8	4
ANHX	44
ANK1	2
ANKAR	6
ANKDD1A	92
ANKDD1B	81
ANKEF1	3
ANKFN1	3
ANKFY1	5
ANKH	2
ANKHD1	4
ANKIB1	3
ANKK1	159
ANKLE1	11
ANKLE2	5
ANKMY1	45
ANKMY2	2
ANKRA2	4
ANKRD1	0
ANKRD10	4
ANKRD13A	3
ANKRD13B	1
ANKRD13C	3
ANKRD13D	5
ANKRD16	3
ANKRD17	15
ANKRD2	0
ANKRD22	2
ANKRD23	52
ANKRD24	24
ANKRD27	4
ANKRD28	20
ANKRD29	4
ANKRD31	10
ANKRD33	16
ANKRD33B	14
ANKRD34A	7
ANKRD34B	15
ANKRD34C	31
ANKRD35	15
ANKRD37	9
ANKRD39	5
ANKRD40	3
ANKRD40CL	82
ANKRD42	7
ANKRD44	3
ANKRD45	3
ANKRD46	2
ANKRD49	6
ANKRD50	13
ANKRD52	1
ANKRD53	4
ANKRD54	2
ANKRD55	6
ANKRD6	3
ANKRD60	6
ANKRD61	28
ANKRD63	19
ANKRD65	33
ANKRD66	18
ANKRD7	83
ANKRD9	45
ANKS1A	5
ANKS1B	69
ANKS3	3
ANKS4B	8
ANKS6	3
ANKUB1	29
ANKZF1	29
ANLN	4
ANO1	6
ANO10	7
ANO2	2
ANO3	1
ANO4	3
ANO5	3
ANO6	6
ANO7	150
ANO8	9
ANO9	13
ANOS1	42
ANP32A	3
ANP32B	1
ANP32D	188
ANP32E	4
ANPEP	6
ANTKMT	5
ANTXR1	6
ANTXR2	29
ANXA1	3
ANXA10	8
ANXA11	0
ANXA13	3
ANXA2	9
ANXA3	7
ANXA4	4
ANXA5	5
ANXA6	5
ANXA7	2
ANXA8	34
ANXA8L1	34
