Successfuly read failed26/ADGRA3.fas, in total 298 sequences.
Successfuly read failed26/AMOT.fas, in total 296 sequences.
Successfuly read failed26/CACHD1.fas, in total 298 sequences.
Successfuly read failed26/CCDC175.fas, in total 293 sequences.
Successfuly read failed26/CLCN6.fas, in total 300 sequences.
Successfuly read failed26/COL13A1.fas, in total 298 sequences.
Successfuly read failed26/CPXM2.fas, in total 299 sequences.
Successfuly read failed26/DDX31.fas, in total 301 sequences.
Successfuly read failed26/DOCK9.fas, in total 297 sequences.
Successfuly read failed26/HUWE1.fas, in total 297 sequences.
Successfuly read failed26/LRRIQ1.fas, in total 295 sequences.
Successfuly read failed26/NUP98.fas, in total 298 sequences.
Successfuly read failed26/PDE6C.fas, in total 294 sequences.
Successfuly read failed26/PFKM.fas, in total 301 sequences.
Successfuly read failed26/POLG.fas, in total 301 sequences.
Successfuly read failed26/POMT2.fas, in total 294 sequences.
Successfuly read failed26/RGS3.fas, in total 299 sequences.
Successfuly read failed26/SAP130.fas, in total 300 sequences.
Successfuly read failed26/SIX4.fas, in total 298 sequences.
Successfuly read failed26/SLC9A2.fas, in total 297 sequences.
Successfuly read failed26/SLC9C1.fas, in total 293 sequences.
Successfuly read failed26/SNX25.fas, in total 299 sequences.
Successfuly read failed26/SPTY2D1.fas, in total 285 sequences.
Successfuly read failed26/SYBU.fas, in total 296 sequences.
Successfuly read failed26/TARBP1.fas, in total 295 sequences.
Successfuly read failed26/TMEM8B.fas, in total 300 sequences.
Successfuly read hg38_species_name_cleaned/A1BG.fas, in total 375 sequences.
Successfuly read hg38_species_name_cleaned/A1CF.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/A2M.fas, in total 417 sequences.
Successfuly read hg38_species_name_cleaned/A2ML1.fas, in total 363 sequences.
Successfuly read hg38_species_name_cleaned/A3GALT2.fas, in total 356 sequences.
Successfuly read hg38_species_name_cleaned/A4GALT.fas, in total 385 sequences.
Successfuly read hg38_species_name_cleaned/A4GNT.fas, in total 421 sequences.
Successfuly read hg38_species_name_cleaned/AAAS.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/AACS.fas, in total 422 sequences.
Successfuly read hg38_species_name_cleaned/AADAC.fas, in total 160 sequences.
Successfuly read hg38_species_name_cleaned/AADACL3.fas, in total 385 sequences.
Successfuly read hg38_species_name_cleaned/AADAT.fas, in total 418 sequences.
Successfuly read hg38_species_name_cleaned/AAGAB.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/AAK1.fas, in total 394 sequences.
Successfuly read hg38_species_name_cleaned/AAMDC.fas, in total 420 sequences.
Successfuly read hg38_species_name_cleaned/AAMP.fas, in total 439 sequences.
Successfuly read hg38_species_name_cleaned/AANAT.fas, in total 377 sequences.
Successfuly read hg38_species_name_cleaned/AAR2.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/AARD.fas, in total 338 sequences.
Successfuly read hg38_species_name_cleaned/AARS1.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/AARS2.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/AARSD1.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/AASDH.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/AASDHPPT.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/AASS.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/AATF.fas, in total 440 sequences.
Successfuly read hg38_species_name_cleaned/AATK.fas, in total 363 sequences.
Successfuly read hg38_species_name_cleaned/ABAT.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/ABC7-42404400C24.fas, in total 358 sequences.
Successfuly read hg38_species_name_cleaned/ABCA1.fas, in total 403 sequences.
Successfuly read hg38_species_name_cleaned/ABCA10.fas, in total 185 sequences.
Successfuly read hg38_species_name_cleaned/ABCA12.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/ABCA2.fas, in total 371 sequences.
Successfuly read hg38_species_name_cleaned/ABCA3.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/ABCA4.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/ABCA5.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/ABCA6.fas, in total 406 sequences.
Successfuly read hg38_species_name_cleaned/ABCA7.fas, in total 367 sequences.
Successfuly read hg38_species_name_cleaned/ABCA8.fas, in total 292 sequences.
Successfuly read hg38_species_name_cleaned/ABCA9.fas, in total 355 sequences.
Successfuly read hg38_species_name_cleaned/ABCB1.fas, in total 408 sequences.
Successfuly read hg38_species_name_cleaned/ABCB10.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/ABCB11.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/ABCB4.fas, in total 412 sequences.
Successfuly read hg38_species_name_cleaned/ABCB5.fas, in total 405 sequences.
Successfuly read hg38_species_name_cleaned/ABCB6.fas, in total 439 sequences.
Successfuly read hg38_species_name_cleaned/ABCB7.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/ABCB8.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/ABCB9.fas, in total 423 sequences.
Successfuly read hg38_species_name_cleaned/ABCC1.fas, in total 386 sequences.
Successfuly read hg38_species_name_cleaned/ABCC10.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/ABCC11.fas, in total 325 sequences.
Successfuly read hg38_species_name_cleaned/ABCC12.fas, in total 362 sequences.
Successfuly read hg38_species_name_cleaned/ABCC2.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/ABCC3.fas, in total 413 sequences.
Successfuly read hg38_species_name_cleaned/ABCC5.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/ABCC6.fas, in total 407 sequences.
Successfuly read hg38_species_name_cleaned/ABCC8.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/ABCC9.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/ABCD1.fas, in total 416 sequences.
Successfuly read hg38_species_name_cleaned/ABCD2.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/ABCD3.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/ABCD4.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/ABCE1.fas, in total 436 sequences.
