gene	in_marine_slow	in_aquatic_slow	partition	marine_direction	aquatic_direction	marine_FDR	aquatic_FDR	marine_statistic_if_available	aquatic_statistic_if_available
A2ML1	FALSE	FALSE	shared_fast	fast	fast	0.000306074	0.000262377	-4.689899	-4.778224
ABCA6	TRUE	TRUE	shared_slow	slow	slow	4.43201e-05	0.000817126	5.130941	4.312289
ABCB5	FALSE	FALSE	shared_fast	fast	fast	0.00190272	0.00472356	-4.085368	-3.794822
ABCC1	TRUE	FALSE	marine_only_slow	slow	not_significant	0.000370427		4.498934	2.372746
ABCC2	TRUE	TRUE	shared_slow	slow	slow	0.00375303	0.00485522	3.734909	3.694814
ABCC6	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00180475		4.021493	3.427787
ABCD1	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00482149		3.678454	2.858197
ABHD13	TRUE	TRUE	shared_slow	slow	slow	5.60931e-05	0.000660801	5.061577	4.381915
ABHD15	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00232492		3.961358	3.417994
ABHD8	TRUE	TRUE	shared_slow	slow	slow	3.32781e-05	0.000101293	5.199816	4.949447
AC004067	FALSE	TRUE	aquatic_only_slow	not_significant	slow		0.00425589	3.328813	3.773250
AC008397	TRUE	TRUE	shared_slow	slow	slow	2.10868e-05	0.00047434	5.285410	4.481339
AC092835	FALSE	TRUE	aquatic_only_slow	not_significant	slow		0.0064091	3.165963	3.621670
ACAD11	TRUE	TRUE	shared_slow	slow	slow	0.000607915	0.000512643	4.422638	4.528645
ACADL	TRUE	TRUE	shared_slow	slow	slow	6.05636e-06	0.000130676	5.680137	4.893287
ACADM	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00109842		4.167023	3.129066
ACADSB	TRUE	TRUE	shared_slow	slow	slow	0.00760819	0.00803173	3.501075	3.533296
ACCSL	FALSE	FALSE	shared_fast	fast	fast	0.00274099	0.00397943	-4.024774	-3.914079
ACIN1	TRUE	FALSE	marine_only_slow	slow	not_significant	0.003642		3.785580	3.036982
ACKR4	TRUE	TRUE	shared_slow	slow	slow	0.000491183	0.00325054	4.455702	3.867652
ACOT12	TRUE	TRUE	shared_slow	slow	slow	0.00626229	0.00987673	3.586226	3.463024
ACOT13	TRUE	TRUE	shared_slow	slow	slow	1.41482e-07	4.03709e-07	6.547527	6.299053
ACOX1	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00348347		3.795068	3.053121
ACOX3	TRUE	TRUE	shared_slow	slow	slow	0.00459575	0.00185716	3.688763	4.055340
ACP4	FALSE	FALSE	shared_fast	fast	fast	0.000914031	0.0033103	-4.357714	-3.924485
ACSBG2	TRUE	TRUE	shared_slow	slow	slow	0.00444526	0.0065805	3.663009	3.582312
ACVR1	TRUE	TRUE	shared_slow	slow	slow	7.83203e-05	0.00183173	5.009129	4.062405
ADAM2	TRUE	TRUE	shared_slow	slow	slow	0.00796741	0.00187072	3.495913	4.080748
ADAM20	TRUE	TRUE	shared_slow	slow	slow	2.22515e-08	2.149e-07	6.781061	6.384114
ADAM29	TRUE	TRUE	shared_slow	slow	slow	4.61891e-10	2.74607e-09	7.606858	7.262008
ADAM32	TRUE	TRUE	shared_slow	slow	slow	0.000816511	0.000784082	4.184386	4.283928
ADAMTS10	TRUE	FALSE	marine_only_slow	slow	not_significant	0.000124083		4.862775	3.273215
ADAMTS3	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00551071		3.620005	2.661848
ADAMTS7	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00395034		3.674346	3.272826
ADAMTS9	TRUE	TRUE	shared_slow	slow	slow	0.00518738	0.00613041	3.629899	3.624133
ADCY10	TRUE	TRUE	shared_slow	slow	slow	1.68779e-10	1.83834e-09	7.805891	7.318638
ADCY9	TRUE	TRUE	shared_slow	slow	slow	0.000525474	0.00532446	4.383737	3.679590
ADD2	FALSE	FALSE	shared_fast	fast	fast	0.00379706	0.00505111	-3.787404	-3.734926
ADD3	TRUE	TRUE	shared_slow	slow	slow	0.00475715	0.00253813	3.682457	3.951007
ADGRF3	FALSE	FALSE	shared_fast	fast	fast	0.00405555	0.00719236	-3.897436	-3.683134
ADGRV1	TRUE	TRUE	shared_slow	slow	slow	0.000774306	0.00650366	4.317467	3.627065
ADH1A	TRUE	TRUE	shared_slow	slow	slow	0.00792449	0.00903693	3.450871	3.472757
ADM	TRUE	TRUE	shared_slow	slow	slow	0.000255022	0.000583807	4.529156	4.366079
ADRB3	FALSE	FALSE	shared_fast	fast	fast	0.0026997	0.00453381	-3.978500	-3.828218
AFM	TRUE	TRUE	shared_slow	slow	slow	0.00128614	0.00532446	4.131033	3.694650
AGL	TRUE	TRUE	shared_slow	slow	slow	0.00185448	0.000982152	3.962947	4.227504
AGO1	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00689163		3.549270	2.960026
